input,given,family,orcid,name,identifier,start,end
Stacey L. Smith,Stacey,Smith,0000-0002-7438-9827,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-9224-7219,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-5588-2328,,,,
Stacey L. Smith,Stacey,Smith,0009-0002-0069-3831,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-5837-0539,Brigham Young University,6756,2019,
Stacey L. Smith,Stacey,Smith,0000-0001-5837-0539,Brigham Young University,6756,2013,2019
Stacey L. Smith,Stacey,Smith,0009-0001-4248-3958,University College London,https://ror.org/02jx3x895,2025,
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,The University of Ottawa,,2007,
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,The University of Illinois at Urbana-Champaign,,2004,2006
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,UCLA,,2003,2004
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,The University of Western Ontario,,2001,2003
Stacey L. Smith,Stacey,Glass-Smith,0000-0002-8813-4120,,,,
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,Lehigh University,1687,1998,
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,North Carolina State University,6798,1996,1998
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,Miami University,6403,1989,1996
Stacey L. Smith,Stacey,Mills-Smith,0009-0009-3941-4036,,,,
Stacey L. Smith,Stacey Burkhalter,Smith,0009-0003-8318-0114,,,,
Christina Underwood,Christina Rye,Underwood,0000-0002-2333-2177,University of Copenhagen,,2015,
Christina Underwood,Christina Rye,Underwood,0000-0002-2333-2177,Nuevolution A/S,99485,2013,2015
Erin Boyd,Erin,Boyd,0000-0002-2230-2419,,,,
Erin Boyd,Erin,Boyd,0000-0002-3611-7505,Tufts University,https://ror.org/05wvpxv85,2013,
Martha O. Burford,Martha ,Burford,0009-0002-1731-7226,University of Bristol,https://ror.org/0524sp257,2025,
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,North Carolina State University,,2019,
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,North Carolina State University,6798,2012,2019
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,University of Central Oklahoma,3140,2011,2012
Carolyn Cruz,carolyn,de la cruz,0000-0003-3424-9747,,,,
Carolyn Cruz,jossely carolyn,colombino de la cruz,0000-0001-9103-2558,,,,
Lia M. Gaertner,Lia,Gaertner,0009-0002-6512-017X,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-2286-6046,Wageningen University & Research,grid.4818.5,2017,
Daniel R. Hahn,Daniel,Hahn,0000-0002-3026-562X,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-5433-6840,,,,
Daniel R. Hahn,Daniel ,Hahn,0000-0002-2783-6460,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0001-6356-3976,National Center for Adaptive Neurotechnologies,465199,,
Daniel R. Hahn,Daniel,Hahn,0009-0009-2844-5099,,,,
Daniel R. Hahn,Daniel,Hahn,0009-0007-0115-6049,,,,
Daniel R. Hahn,Daniel ,Hahn,0000-0003-0165-7488,University of Florida,3463,2005,
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Ruhr University Bochum,https://ror.org/04tsk2644,2024,
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,University of Queensland,1974,2016,
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Ruhr University Bochum,grid.5570.7,2013,2024
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Technical University Munich,grid.6936.a,2011,2013
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Technical University Munich,grid.6936.a,2008,2011
Daniel R. Hahn,Daniel Luca,Hahn,0009-0002-4306-6942,Fraunhofer Institute for Machine Tools and Forming Technology,https://ror.org/026taa863,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-3564-5189,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-3346-3402,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1100-3066,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7085-4405,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-0749-9652,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1105-3565,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8301-8342,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-3207-4402,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6360-4499,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6502-1660,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0000-0447-4965,Colorado State University,https://ror.org/03k1gpj17,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2548-0755,,,,
Rebecca Johnson,Rebecca ,Johnson,0000-0001-8079-7029,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5114-4448,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2896-9393,,,,
Rebecca Johnson,Rebecca ,Johnson,0000-0002-9847-1286,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8988-3089,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-8380-528X,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-1222-9019,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-0606-2929,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5823-6011,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7195-3851,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-0840-1541,The University of Queensland,1974,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2510-9796,University of Leeds,4468,2019,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2510-9796,University of Leeds,4468,2018,2019
Rebecca Johnson,Rebecca,Johnson,0000-0002-2510-9796,Science Museum Group,,2016,2018
Rebecca Johnson,Rebecca,Johnson,0000-0002-2510-9796,International Alliance of Patients' Organizations,,2009,2015
Rebecca Johnson,Rebecca,Johnson,0000-0003-4031-1762,University of Wisconsin Madison,5228,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4158-532X,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6040-8302,Wake Forest University,https://ror.org/0207ad724,2022,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6040-8302,University of Kansas,,2016,2022
Rebecca Johnson,Rebecca ,Johnson ,0000-0001-7619-9659,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0006-2109-1150,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4382-6828,"UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill",http://dx.doi.org/10.13039/100013056,2019,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6315-278X,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0004-3844-443X,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5938-012X,Skidmore College,https://ror.org/04nzrzs08,,
Rebecca Johnson,Rebecca,Johnson,0009-0000-7611-773X,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5104-2919,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0009-9295-3100,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0002-8652-9003,Siemens (Germany),https://ror.org/059mq0909,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2475-6622,Georgetown University,https://ror.org/05vzafd60,2022,
Rebecca Johnson,Rebecca ,Johnson,0009-0000-0060-1410,New South Wales Department of Health,https://ror.org/03tb4gf50,2021,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4839-6310,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1006-7586,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0006-9225-5538,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-7560-4672,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-8684-9202,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2249-2643,California Academy of Sciences,7143,2009,
Rebecca Johnson,Rebecca,Johnson,0009-0005-5127-3935,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0009-4107-5328,Lincolnshire Partnership NHS Foundation Trust,https://ror.org/04xawry97,2025,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6592-9089,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4285-9177,Connecticut Agricultural Experiment Station,grid.421470.4,2021,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4285-9177,The Pennsylvania State University - University Park Campus,311285,2012,2021
Rebecca Johnson,Rebecca,Johnson,0000-0002-4285-9177,Cornell University,grid.5386.8,2008,2012
Rebecca Johnson,Rebecca,Johnson,0000-0001-7359-6595,Glasgow Caledonian University,3525,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7359-6595,Glasgow Caledonian University,3525,2020,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7359-6595,See Me Scotland ,,2019,2021
Rebecca Johnson,Rebecca,Johnson,0000-0001-7359-6595,Scottish Association for Mental Health,62664,2020,2020
Rebecca Johnson,Rebecca,Johnson,0000-0002-1920-9774,Mayo Clinic Minnesota,4352,2018,
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,University of Victoria,,2001,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Warwick,https://ror.org/01a77tt86,2024,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Birmingham,1724,2021,2024
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,Coventry University,2706,2019,2021
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Warwick,2707,2014,2019
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Warwick,2707,2013,2014
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,Coventry City Council,11491,2013,2013
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Warwick,2707,2009,2010
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Warwick,2707,2008,2009
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Warwick,2707,2008,2009
Rebecca Johnson,Rebecca,Johnson,0000-0001-7253-7454,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8254-9029,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5281-0924,Purdue University West Lafayette,https://ror.org/02dqehb95,2023,
Rebecca Johnson,Rebecca,Johnson,0000-0003-3035-2827,Smithsonian Institution,grid.1214.6,2020,
Rebecca Johnson,Rebecca,Johnson,0000-0003-3035-2827,Australian Museum,7779,2003,2020
Rebecca Johnson,Rebecca,Johnson,0000-0003-3035-2827,Tufts University,1810,2002,2003
Rebecca Johnson,Rebecca May,Johnson,0000-0001-5529-1261,Newcastle University,,2017,
Rebecca Johnson,Rebecca McKay,Johnson,0000-0001-5697-4638,University of Texas Medical Branch,,2015,
Rebecca Johnson,Rebecca McKay,Johnson,0000-0001-5697-4638,Texas A&M University,14736,2003,2015
Rebecca Johnson,Rebecca Mary,Johnson,0009-0007-2170-2553,National Health Service,https://ror.org/02wnqcb97,,
Rebecca Johnson,Rebecca L,Johnson,0000-0002-8771-6161,U.S. Geological Survey,http://dx.doi.org/10.13039/100000201,2000,
Rebecca Johnson,Rebecca Kate,Johnson,0009-0006-2417-690X,,,,
Rebecca Johnson,Rebecca L,Johnson,0009-0002-2247-5990,American Board of Medical Specialties,https://ror.org/04y4a7s50,2023,
Rebecca Johnson,Rebecca M,Johnson,0000-0003-0517-5769,Baylor College of Medicine,,2010,
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,The University of Auckland,1415,2021,
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,The University of Auckland,1415,2020,
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,University of Auckland,,2019,
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,The University of Auckland,1415,2020,2026
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,The University of Auckland,1415,2017,2018
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,The University of Auckland,1415,2016,2017
Rebecca Johnson,Rebecca L.,Johnson,0000-0001-7321-0744,The University of Sydney,,,
Rebecca Johnson,Rebecca L.,Johnson,0000-0001-7321-0744,Google Inc,93176,,
Rebecca Johnson,Rebecca A,Johnson,0009-0001-2463-3510,Monash University,https://ror.org/02bfwt286,,
Rebecca Johnson,Rebecca Anna,Johnson,0009-0006-6411-9635,Oxford University Hospitals NHS Trust,https://ror.org/03h2bh287,2014,
Rebecca Johnson,Rebecca Jean,Johnson,0000-0002-0084-4727,Children's Mercy Kansas City,,,
Rebecca Johnson,Rebecca Jean,Johnson,0000-0002-0084-4727,University of Missouri Kansas City,12273,,
Rebecca Johnson,Rebecca,Johnson Bista,0000-0003-3375-7053,,,,
Rebecca Johnson,Rebecca,Harper-Johnson,0000-0003-3310-2364,,,,
Rebecca Johnson,Rebecca,Johnson Beller,0000-0002-9742-7806,,,,
Rebecca Johnson,Stephanie Rebecca Howerton,Johnson,0009-0008-4325-615X,,,,
Sarah Kalish,Sarah,Kalish,0009-0001-1277-5124,,,,
Regina Linville,Regina,Linville,0000-0003-3732-5944,,,,
Ina Park,InA,PARK,0000-0003-0266-5068,,,,
Ina Park,Ina,PARK,0009-0008-3729-6091,,,,
Ina Park,Ina,Park,0009-0008-7558-7092,"University of California, San Francisco",https://ror.org/043mz5j54,,
Ina Park,Ina,Park,0000-0003-0161-711X,Flatiron Institute,https://ror.org/00sekdz59,2024,
J. A. Pearson,J. Stephen,Pearson,0000-0002-6252-2432,,,,
J. A. Pearson,J Michael,Pearson,0000-0002-1000-4107,Mathematical Association of America,grid.299565.4,2012,
J. A. Pearson,Scott J.,Pearson,0000-0003-3676-2050,Vanderbilt University Medical Center,12328,2013,
Sarah Jane Rollin,Sarah,GUILLAUD-ROLLIN,0009-0001-6283-7709,,,,
Julie L. Smith,Julie,Smith,0000-0001-5588-3638,,,,
Julie L. Smith,JULIE,SMITH,0000-0001-7163-6629,,,,
Julie L. Smith,Julie,Smith,0000-0002-5059-9918,,,,
Julie L. Smith,Julie,Smith,0000-0003-0065-5165,,,,
Julie L. Smith,Julie,Smith,0000-0001-9933-3873,,,,
Julie L. Smith,Julie,Smith,0000-0003-0392-1174,,,,
Julie L. Smith,Julie,Smith,0000-0003-1412-7443,,,,
Julie L. Smith,Julie,Smith,0000-0003-4497-4387,,,,
Julie L. Smith,Julie,Smith,0000-0002-0874-1095,,,,
Julie L. Smith,Julie,Smith,0000-0002-2556-9020,,,,
Julie L. Smith,Julie,Smith,0000-0003-2804-0285,,,,
Julie L. Smith,Julie,Smith,0000-0001-6037-9428,,,,
Julie L. Smith,Julie,Smith,0000-0002-1196-7386,,,,
Julie L. Smith,Julie,Smith,0000-0002-0429-7900,,,,
Julie L. Smith,Julie,Smith,0000-0002-3622-5469,,,,
Julie L. Smith,Julie,Smith,0000-0002-4716-9685,,,,
Julie L. Smith,Julie,Smith,0000-0002-3136-7118,,,,
Julie L. Smith,Julie,smith,0000-0003-4471-7970,,,,
Julie L. Smith,Julie,Smith,0009-0005-1725-6314,,,,
Julie L. Smith,Julie,Smith,0000-0002-1725-5443,University of Cambridge,2152,1997,
Julie L. Smith,Julie,Smith,0000-0002-5549-0022,,,,
Julie L. Smith,Julie,Smith,0009-0002-2001-4250,,,,
Julie L. Smith,Julie,Smith,0000-0002-4870-968X,,,,
Julie L. Smith,Julie,Smith,0000-0001-8569-1303,University of Colorado,1878,2011,
Julie L. Smith,Julie,Smith,0009-0004-8654-8575,Hennepin Healthcare Research Institute,https://ror.org/05v1amx46,2024,
Julie L. Smith,Julie,Smith,0009-0009-0441-3682,National Health Service,https://ror.org/02wnqcb97,,
Julie L. Smith,Julie,Smith,0000-0002-2927-9514,The University of Edinburgh,3124,2015,
Julie L. Smith,Julie,Smith,0000-0002-2927-9514,University of Edinburgh,3124,,2021
Julie L. Smith,Julie,Smith,0000-0003-1135-1191,Københavns Professionshøjskole,87011,,
Julie L. Smith,Julie,Smith,0000-0003-1135-1191,University Colleges,,,
Julie L. Smith,Julie,Smith,0009-0005-9963-5456,University of Virginia,https://ror.org/0153tk833,2024,2025
Julie L. Smith,Julie,Smith,0009-0005-9862-5627,,,,
Julie L. Smith,Julie,Smith,0000-0003-2347-2070,,,,
Julie L. Smith,Julie,Smith,0009-0001-7392-2319,Heriot-Watt University,3120,,
Julie L. Smith,Julie,Smith,0009-0001-7392-2319,Heriot-Watt University,https://ror.org/04mghma93,2023,
Julie L. Smith,Julie,Smith,0009-0001-7392-2319,Heriot-Watt University,,2022,2023
Julie L. Smith,Julie,Smith,0009-0001-7392-2319,Heriot-Watt University,,2021,2022
Julie L. Smith,Julie,Winter-Smith,0000-0001-5782-9176,,,,
Julie L. Smith,Julie,Bajic Smith,0009-0001-3989-5433,,,,
Julie L. Smith,Julie,Cremeans-Smith,0000-0002-2123-4637,Kent State University - Stark Campus,35250,,
Julie L. Smith,Julie,Smith-Yliniemi,0000-0001-7988-9751,University of North Dakota,https://ror.org/04a5szx83,2022,
Julie L. Smith,Julie,Smith-Yliniemi,0000-0001-7988-9751,North Dakota State University,grid.261055.5,2020,
Julie L. Smith,Julie,Smith-Yliniemi,0000-0001-7988-9751,Yorkville University,grid.440972.c,2019,
Julie L. Smith,Julie,Smith-Yliniemi,0000-0001-7988-9751,Arkansas State University,grid.252381.f,2018,
Julie L. Smith,Julie,Smith-Gagen,0000-0001-9796-3409,"University of Nevada, Reno",,2010,
Julie L. Smith,Julie Ann,Smith,0000-0002-4175-0823,,,,
Julie L. Smith,Sanne Julie,Smith,0000-0002-3487-0528,Delft University of Technology,2860,,
Julie L. Smith,Sanne Julie,Smith,0000-0002-3487-0528,Swedish University of Agricultural Sciences,,2020,2023
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,The Australian National University,https://ror.org/019wvm592,,
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,University of Canberra,https://ror.org/04s1nv328,2024,
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Australian National University,2219,2015,
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,University of Sydney,https://ror.org/0384j8v12,2024,2025
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Australian National University,2219,2019,2024
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Australian National University,2219,2018,2019
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Australian National University,2219,2015,2018
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Australian National University,2219,2008,2014
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Australian National University,2219,2004,2007
Julie L. Smith,Julie Smith,Julie Smith,0009-0009-0349-2243,,,,
Julie L. Smith,Julie Sian,Smith-Lewis,0009-0005-0845-5100,Staffordshire County Council,https://ror.org/04gyqbv83,,
Julie L. Smith,Julie C.,"Fanburg-Smith, M.D.",0000-0002-1395-4730,Penn State Health Milton S Hershey Medical Center,12311,,
Julie L. Smith,Julie C.,"Fanburg-Smith, M.D.",0000-0002-5404-096X,,,,
Eric A. Collisson,Eric,Collisson,0000-0002-2829-355X,,,,
Eric A. Collisson,Eric,Collisson,0000-0001-8037-9388,,,,
Ryan M. Houston,Ryan,Houston,0000-0001-5695-0388,,,,
Ryan M. Houston,Ryan,Houston,0000-0002-7656-4481,,,,
Ryan M. Houston,Ryan,Houston,0000-0003-0943-3622,,,,
Ryan M. Houston,Ryan,Houston,0000-0002-0278-0632,,,,
Ryan M. Houston,Ryan,Houston,0000-0003-0508-4728,,,,
Ryan M. Houston,Ryan,Houston,0000-0002-9503-5075,,,,
Ryan M. Houston,Ryan,Houston,0000-0001-5769-7695,,,,
Ryan M. Houston,Ryan,Houston,0000-0001-9494-2514,,,,
Ryan M. Houston,Ryan,Houston,0009-0002-8049-9560,,,,
Ryan M. Houston,Ryan,Houston-Dial,0009-0007-5106-3166,,,,
Andy Johnson,Andy,Johnson,0000-0001-6780-1492,,,,
Andy Johnson,Andy,Johnson,0009-0007-1187-0529,University of Minnesota Crookston,https://ror.org/04w6xt508,2025,
Andy Johnson,Andy,Johnson,0000-0003-0846-7396,,,,
Andy Johnson,Andy Lain,Johnson,0009-0008-7022-847X,Janssen (United States),https://ror.org/05af73403,2021,
Andy Johnson,"Andy, Andrew",Johnson,0009-0008-4805-6341,,,,
Andy Johnson,Andrew (Andy),Johnson,0009-0007-5951-1293,Tandem Diabetes Care (United States),https://ror.org/01mzspr34,2022,
Betty Y. Lin,Betty,Lin,0000-0001-7261-7796,"University at Albany, State University of New York",https://ror.org/012zs8222,,
Betty Y. Lin,Betty Fwei-chien,Lin,0000-0002-9585-6842,Hong Kong University of Science and Technology,,,
Tina Liu,Tina,liu,0000-0003-1976-9808,,,,
Tina Liu,Tina,Liu,0000-0003-0755-3495,,,,
Tina Liu,Tina,Liu,0009-0004-9449-1038,,,,
Tina Liu,Tina,Liu,0000-0001-5795-353X,,,,
Tina Liu,Tina,Liu,0009-0009-8246-7715,McGill University,https://ror.org/01pxwe438,,
Tina Liu,Tina,Liu,0000-0003-1297-7102,"Rutgers, The State University of New Jersey",https://ror.org/05vt9qd57,2023,
Tina Liu,Tina,Liu,0000-0003-1297-7102,Beam Therapeutics Inc,596698,2021,2023
Tina Liu,Tina,Liu,0000-0003-1297-7102,"University of California, Berkeley",https://ror.org/01an7q238,2021,2021
Tina Liu,Tina,Liu,0000-0003-1297-7102,"University of California, Berkeley",grid.47840.3f,2015,2021
Tina Liu,Tina C.,Liu,0000-0002-9500-9096,,,,
Tina Liu,Tina J.,Liu,0009-0004-8550-1628,St. Michael's Hospital,https://ror.org/04skqfp25,2024,
