input,given,family,orcid,name,identifier,department,degree,start,end
"Smith,S. L.",Raymond S,Smith,0000-0002-8310-5339,,,,,,
"Smith,S. L.",Jacqueline S.,Smith,0000-0002-3934-5124,Webster University,grid.268073.8,,MBA,2017,2020
"Smith,S. L.",Jacqueline S.,Smith,0000-0002-3934-5124,Knoxville College,grid.258644.9,,BS/Accountancy,,1995
"Smith,S. L.",Gary S.,Smith,0000-0002-7107-5048,Oklahoma State University,grid.65519.3e,Chemistry,Ph.D. Organic Chemistry,1982,1986
"Smith,S. L.",Gary S.,Smith,0000-0002-7107-5048,Southwestern Oklahoma State University,grid.263922.e,,B. S. Chemistry,1978,1982
"Smith,S. L.",S. Megan,Smith,0000-0002-5366-8325,,,,,,
"Smith,S. L.",Isabelle S,Smith,0000-0001-7395-1358,,,,,,
"Smith,S. L.",S. D.,Smith,0000-0002-9474-7185,Texas A&M University,grid.264756.4,Educational Psychology,PhD,2015,2020
"Smith,S. L.",S. D.,Smith,0000-0002-9474-7185,Schreiner University,41329,,Masters in Teaching with Administrator Certification,2005,2007
"Smith,S. L.",S. D.,Smith,0000-0002-9474-7185,Texas State University–San Marcos,grid.264772.2,,Interdisciplinary Studies with Specialization in Special Education,1998,2000
"Smith,S. L.",Veronica S,Smith,0000-0001-6053-5961,,,,,,
"Smith,S. L.",Carl S,Smith,0000-0003-1581-9855,,,,,,
"Smith,S. L.",Sharon S.,Smith,0009-0003-7055-4076,,,,,,
"Smith,S. L.",S. Paul,Smith,0000-0003-0562-9492,,,,,,
"Smith,S. L.",S. Kendall,Smith,0000-0003-0718-1150,,,,,,
"Smith,S. L.",Robert S.,Smith,0009-0008-6586-5810,National University,https://ror.org/01zjrck77,,Bachelor of Science in Computer Science,,
"Smith,S. L.",Robert S.,Smith,0009-0008-6586-5810,National University,https://ror.org/01zjrck77,,Master of Science in Software Engineering,,
"Smith,S. L.",Robert S.,Smith,0009-0008-6586-5810,Orange Coast College,https://ror.org/00pz2dk38,,Associate in Arts,,
"Smith,S. L.",Robert S.,Smith,0009-0008-6586-5810,Orange Coast College,https://ror.org/00pz2dk38,,Certificate in Electronics Technology,,
"Smith,S. L.",Malinda S.,Smith,0009-0006-3029-630X,,,,,,
"Smith,S. L.",Lars S.,Smith,0009-0001-2184-1808,,,,,,
"Smith,S. L.",Eleanor S.,Smith,0000-0002-6448-5778,University of Leeds,https://ror.org/024mrxd33,School of Earth and Environment,PhD,2022,
"Smith,S. L.",Eleanor S.,Smith,0000-0002-6448-5778,University of Leeds,https://ror.org/024mrxd33,School of Earth and Environment,MRes Climate and Atmospheric Science,2021,2022
"Smith,S. L.",Eleanor S.,Smith,0000-0002-6448-5778,Durham University,3057,Physics,BSc Physics with Year Abroad,2015,2019
"Smith,S. L.",Russell S.,Smith,0009-0002-5515-4149,,,,,,
"Smith,S. L.",Richard S.,Smith,0000-0001-9220-0787,University of Calgary,https://ror.org/03yjb2x39,Computer Science,PhD,2004,2007
"Smith,S. L.",Deborah S,Smith,0000-0002-8420-1824,,,,,,
"Smith,S. L.",Nicola S.,Smith,0000-0002-1569-7790,Simon Fraser University,1763,Biological Sciences,Ph.D.,2013,2020
"Smith,S. L.",Nicola S.,Smith,0000-0002-1569-7790,University of British Columbia,8166,Zoology,M.Sc.,2007,2010
"Smith,S. L.",Nicola S.,Smith,0000-0002-1569-7790,University of Toronto,7938,Zoology,Hons. B.Sc.,2001,2006
"Smith,S. L.",Jennifer S,Smith,0000-0002-1256-0422,,,,,,
"Smith,S. L.",David G S,Smith,0009-0004-2266-9327,Birmingham City University,https://ror.org/00t67pt25,HELS,EdD,2017,2024
"Smith,S. L.",David G S,Smith,0009-0004-2266-9327,Birmingham City University,https://ror.org/00t67pt25,HELS,Dip Ed,2016,2017
"Smith,S. L.",David G S,Smith,0009-0004-2266-9327,University of Southampton,https://ror.org/01ryk1543,Education,PGCert Ed,2013,2015
"Smith,S. L.",David G S,Smith,0009-0004-2266-9327,University of Southampton,https://ror.org/01ryk1543,Theology,MTh,1995,1996
"Smith,S. L.",David G S,Smith,0009-0004-2266-9327,King's College London,https://ror.org/0220mzb33,Theology and Religious Studies,BD,1980,1983
"Smith,S. L.",Michael S. D.,Smith,0000-0002-1952-3616,University of Manitoba,8664,Physics,M.Sc.,1996,1998
"Smith,S. L.",Michael S. D.,Smith,0000-0002-1952-3616,University of Saskatchewan,7235,Engineering,B.Sc. Engineering Physics,1992,1996
"Boyd,E.",Alicia E.,Boyd,0000-0002-2077-3823,,,,,,
"Boyd,E.",E. Fidelma,Boyd,0000-0001-7435-4897,University of Galway,http://dx.doi.org/10.13039/501100001634,Microbiology,BSc,,
"Boyd,E.",E. Fidelma,Boyd,0000-0001-7435-4897,University of Galway,,Microbiology,Ph.D.,,
"Boyd,E.","Ethan, Ethan Robert, E. Robert",Boyd,0009-0002-1269-7186,,,,,,
"Hahn,D. R.",Phillip D.,Hahn,0000-0002-7666-7632,University of Florida,3463,Epidemiology,Master of Public Health ,2015,2017
"Hahn,D. R.",Phillip D.,Hahn,0000-0002-7666-7632,University of Florida,3463,Public Health,Bachelor of Health Science,2012,2016
"Johnson,R.",R Wayne,Johnson,0000-0003-4280-5715,,,,,,
"Johnson,R.",Renee R ,Johnson,0000-0001-9493-0863,,,,,,
"Johnson,R.",Brian R.,Johnson,0000-0002-8272-5448,,,,,,
"Johnson,R.",Jay R.,Johnson,0000-0001-8174-7103,The University of Texas at Austin,,Mechanical Engineering,Ph.D.,2014,
"Johnson,R.",Jay R.,Johnson,0000-0001-8174-7103,University of Wisconsin Madison,5228,Physics,B.S.,2009,2013
"Johnson,R.",R. Erin,Johnson,0000-0003-1523-3256,Rockhurst University,grid.262620.2,Helzberg School of Management,MBA,2017,2019
"Johnson,R.",R. Erin,Johnson,0000-0003-1523-3256,Rockhurst University,grid.262620.2,Helzberg School of Management,M.S. Business Intelligence and Analytics,2016,2018
"Johnson,R.",R. Erin,Johnson,0000-0003-1523-3256,Colorado State University,grid.47894.36,"Microbiology, Immunology, Pathology",B.S. Microbiology,2002,2006
"Johnson,R.",R. Erin,Johnson,0000-0003-1523-3256,Colorado State University,grid.47894.36,Biochemistry,B.S. Biochemistry,2002,2006
"Johnson,R.",Joseph R.,Johnson,0009-0000-9618-4163,,,,,,
"Johnson,R.",Paula R,Johnson,0009-0005-9020-7615,,,,,,
"Johnson,R.",Marcia R.,Johnson,0000-0001-9625-8425,University of Toronto,7938,Faculty of Information,Master of Information Studies,2007,2008
"Johnson,R.",R. Daniel,Johnson,0000-0001-5108-701X,University of Kentucky,,Chemistry,Ph.D.,1997,2002
"Johnson,R.",R. Daniel,Johnson,0000-0001-5108-701X,Centre College,,Chemistry,B.S.,1993,1997
"Johnson,R.",LeAnne R.,Johnson,0009-0000-0146-880X,Strayer University,https://ror.org/00fdnsr88,Accounting,Bachelor,,
"Johnson,R.",LeAnne R.,Johnson,0009-0000-0146-880X,DeVry University,https://ror.org/02z38kp20,Public Administration,Master's,,
"Johnson,R.",LeAnne R.,Johnson,0009-0000-0146-880X,National Defense University,https://ror.org/01nqk4x38,College of Information and Cyberspace,CFO Leadership Academy,,
"Johnson,R.",Brian R.,Johnson,0000-0001-5754-3223,US Naval War College,24348,College of Distance Education,Joint Professional Military Education,2009,2013
"Johnson,R.",Brian R.,Johnson,0000-0001-5754-3223,Texas Tech University,6177,,Experimental Psychology,2003,2008
"Johnson,R.",Brian R.,Johnson,0000-0001-5754-3223,Kansas State University,5308,,Experimental Psychology,2001,2003
"Johnson,R.",Brian R.,Johnson,0000-0001-5754-3223,Boise State University,1791,,Psychology ,1997,2001
"Johnson,R.",Timothy R.,Johnson,0000-0001-8700-7296,,,,,,
"Johnson,R.",R Stafford,Johnson,0000-0001-7601-5039,University of Kentucky,4530,Economics,Ph.D,1972,1975
"Johnson,R.",Mark R,Johnson,0000-0003-4622-650X,,,,,,
"Johnson,R.",Christine R.,Johnson,0009-0008-4684-5312,,,,,,
"Johnson,R.",Brittany R.,Johnson,0009-0007-1631-1582,,,,,,
"Johnson,R.",Sindhu R.,Johnson,0000-0003-0591-2976,,,,,,
"Johnson,R.",Jack R.,Johnson,0009-0009-1511-8937,,,,,,
"Johnson,R.",Matthew R.,Johnson,0000-0002-3637-9919,University of Alberta Faculty of Engineering,120449,Mechanical Engineering,Ph.D.,,2001
"Johnson,R.",Dylan R.,Johnson,0000-0003-0644-2005,New York University,grid.137628.9,Hebrew Judaic Studies,PhD,2012,2018
"Johnson,R.",Dylan R.,Johnson,0000-0003-0644-2005,Université Panthéon-Assas (Paris II),27064,Institut histoire du droit,Master 2,2015,2016
"Johnson,R.",Dylan R.,Johnson,0000-0003-0644-2005,Harvard Divinity School,80331,Hebrew Bible/Old Testament,MTS,2010,2012
"Johnson,R.",R. Jeremy,Johnson,0000-0003-2694-3915,Harvard University,,,Postdoctoral Fellow,,
"Johnson,R.",R. Jeremy,Johnson,0000-0003-2694-3915,University of Wisconsin - Madison,,Biochemistry,Ph.D.,,
"Johnson,R.",Blake R.,Johnson,0000-0001-6337-7161,,,,,,
"Johnson,R.",R. Paul,Johnson,0000-0002-2600-120X,Harvard Medical School,1811,,MD,1980,1984
"Johnson,R.",R. Paul,Johnson,0000-0002-2600-120X,Duke University,3065,,BS,1976,1980
"Johnson,R.",Karen R.,Johnson,0000-0002-9900-6650,Regents of the University of Minnesota,311816,"Organizational Leadership, Policy and Development",PhD,2007,2011
"Johnson,R.",Karen R.,Johnson,0000-0002-9900-6650,University of Minnesota,grid.17635.36,Human Resource Development,MA,2005,2007
"Johnson,R.",Karen R.,Johnson,0000-0002-9900-6650,The University of the West Indies,62707,Psychology,BA,1995,1999
"Johnson,R.",Peter R,Johnson,0000-0002-4697-3882,,,,,,
"Johnson,R.",Dr. Anita R.,Johnson,0009-0008-8831-9927,Walden University,https://ror.org/02qp2hh41,Management,PhD,,2024
"Johnson,R.",Dr. Anita R.,Johnson,0009-0008-8831-9927,Walden University,https://ror.org/02qp2hh41,Finances,Masters of Philosophy,2021,2022
"Johnson,R.",Dr. Anita R.,Johnson,0009-0008-8831-9927,National University,,Management,MS Taxation,,2006
"Johnson,R.",Dr. Anita R.,Johnson,0009-0008-8831-9927,National University,,Management,BBA Financial Accounting ,,1989
"Johnson,R.",Timothy R B,Johnson,0000-0002-9399-5945,,,,,,
"Johnson,R.",Paul D. R.,Johnson,0000-0001-9873-7163,University of Melbourne,2281,Paediatrics - Microbiology,Doctor of Philosophy,1991,1997
"Johnson,R.",Paul D. R.,Johnson,0000-0001-9873-7163,University of Melbourne,2281,Medicine,MBBS,1976,1981
"Johnson,R.",Jacquett R,Batson (Johnson),0000-0001-9963-0368,,,,,,
"Johnson,R.",Luke R,Johnson PhD,0000-0002-5088-1788,University of Oxford,https://ror.org/052gg0110,Pharmacology,PhD,1994,1998
"Johnson,R.","Nicole, Nicole R., Nicole Ruth",Johnson,0009-0003-6224-5062,,,,,,
"Kalish,S.",Sue Ann S.,Kalish,0000-0002-9677-0602,,,,,,
"Laczek-Johnson,C.",C. Tyler,Johnson,0000-0001-7632-5184,,,,,,
"Laczek-Johnson,C.",C. Daniel,Johnson,0000-0003-1277-900X,,,,,,
"Laczek-Johnson,C.",Christian C.,Johnson,0000-0001-7435-0909,,,,,,
"Laczek-Johnson,C.",Sarah C.,Johnson,0000-0002-2032-6425,Long Island University CW Post Palmer School of Library and Information Science,205129,Library and Information Science,MLIS,2009,2010
"Laczek-Johnson,C.",Sarah C.,Johnson,0000-0002-2032-6425,University of Denver,,Social Work ,MSW,1999,2000
"Laczek-Johnson,C.",Sarah C.,Johnson,0000-0002-2032-6425,Calvin University,3590,Social Work,BSW,1995,1999
"Laczek-Johnson,C.",Daniel C.,Johnson,0000-0001-9699-3112,,,,,,
"Laczek-Johnson,C.",Paula C,Johnson,0000-0002-6750-9843,,,,,,
"Laczek-Johnson,C.",Carolyn C,Johnson,0000-0002-3903-8458,University of New Orleans,5784,Department of Psychology,PhD,1987,1990
"Laczek-Johnson,C.",Carolyn C,Johnson,0000-0002-3903-8458,San Diego State University Department of Psychology,140360,Department of Psychology,MS,1983,1985
"Laczek-Johnson,C.",Micah C.,Johnson,0000-0003-0977-6449,,,,,,
"Laczek-Johnson,C.",C. Douglas,Johnson,0009-0009-7925-3943,,,,,,
"Laczek-Johnson,C.",Zachary C,Johnson,0009-0003-3306-3286,Eastern Michigan University,https://ror.org/02ehshm78,,"Master of Science in Ecology, Evolution & Organismal Biology",,
"Laczek-Johnson,C.",Zachary C,Johnson,0009-0003-3306-3286,University of Wisconsin–Madison,https://ror.org/01y2jtd41,,Bachelor of Science in Genetics and Genomics,,
"Laczek-Johnson,C.",Renee C.,Johnson,0000-0001-5725-8502,,,,,,
"Laczek-Johnson,C.",C. Dan,Johnson,0000-0001-8184-531X,,,,,,
"Laczek-Johnson,C.",C. Douglas,Johnson,0000-0003-1072-593X,,,,,,
"Laczek-Johnson,C.",Frango C.,Johnson,0000-0002-2136-0641,Indian Institute of Technology Kanpur,30077,Civil Engineering ,PhD,2010,2017
"Laczek-Johnson,C.",David C,Johnson,0000-0003-2595-6765,New Mexico State University,grid.24805.3b,Molecular Biology,PhD,2011,
"Laczek-Johnson,C.",Cole C,Johnson,0009-0005-4523-0736,,,,,,
"Laczek-Johnson,C.",Andrea C.,Johnson,0000-0002-6470-8927,,,,,,
"Laczek-Johnson,C.",Robert C.,Johnson,0009-0006-3260-066X,,,,,,
"Laczek-Johnson,C.",Carla C.,Johnson,0000-0001-8757-1268,,,,,,
"Laczek-Johnson,C.",Curtis C,Johnson,0000-0001-9556-9483,Brigham Young University,grid.253294.b,Mechanical Engineering: Robotics,PhD Student,2020,
"Laczek-Johnson,C.",Loretta C,Johnson,0000-0002-8989-7779,,,,,,
"Laczek-Johnson,C.",Demian C.,Johnson,0000-0002-0098-5562,,,,,,
"Laczek-Johnson,C.",Claudia C,Johnson,0000-0002-7774-8266,,,,,,
"Laczek-Johnson,C.",Anna C.,Johnson,0009-0006-7953-2027,Rice University,https://ror.org/008zs3103,"Earth, Environmental, and Planetary Sciences",Ph.D.,2020,2025
"Laczek-Johnson,C.",Anna C.,Johnson,0009-0006-7953-2027,Western Washington University,https://ror.org/05wn7r715,Geology,B.S.,2017,2019
"Laczek-Johnson,C.",Natasha C,Johnson,0000-0002-4475-7334,University of Michigan,,Social Work & Psychology,PhD,,2020
"Laczek-Johnson,C.",Adelaide C.,Johnson,0009-0003-8431-5391,Portland State University,https://ror.org/00yn2fy02,,Ph.D.,,
"Laczek-Johnson,C.",C. Reagan,Johnson,0009-0004-2170-4370,,,,,,
"Laczek-Johnson,C.",Wiley C,Johnson III,0000-0003-0254-3220,North Carolina State University,6798,Crop Science,PhD,1981,1984
"Laczek-Johnson,C.",Wiley C,Johnson III,0000-0003-0254-3220,North Carolina State University,6798,Crop Science,M. S.,1979,1981
"Laczek-Johnson,C.",Wiley C,Johnson III,0000-0003-0254-3220,Auburn University,,Entomology,B.S.,1975,1979
"Park,I.",Bom I,Park,0000-0001-6253-4831,,,,,,
"Park,I.",I Seul,Park,0000-0001-6546-5456,,,,,,
"Park,I.",I Nae,Park,0000-0002-6109-5213,,,,,,
"Park,I.",Song I,Park,0000-0002-9536-6376,,,,,,
"Park,I.",Cho-I,Park,0000-0002-0939-8225,,,,,,
"Park,I.",Song I,Park,0000-0003-2121-7519,Chosun University,https://ror.org/01zt9a375,Nursing,Ph.D candidate,2020,
"Park,I.",Song I,Park,0000-0003-2121-7519,Chosun University,https://ror.org/01zt9a375,Nursing,Master's ,2010,2016
"Park,I.",Song I,Park,0000-0003-2121-7519,Chosun University College of Medicine,89481,Nursing,Bachelor ,2003,2007
"Park,I.",CHO I,PARK,0000-0003-4032-7246,,,,,,
"Park,I.",Sang I.,Park,0000-0002-2765-1546,,,,,,
"Cruz,C.",C,Cruz-Vázquez,0000-0003-3267-1311,,,,,,
"Cruz,C.",Juan C,Cruz,0000-0001-7240-8230,,,,,,
"Cruz,C.",Rafaela C.,Cruz,0000-0003-2078-3367,NOVA School of Science and Technology,,,Master's degree in Analysis and Engineering of Big Data,2019,2022
"Cruz,C.",Rafaela C.,Cruz,0000-0003-2078-3367,"Faculdade de Ciências, Universidade de Lisboa",,,Biochemistry,2016,2019
"Cruz,C.",SILVIA BALDEON C.,cruz,0000-0001-6955-3592,,,,,,
"Cruz,C.",Estrella C.,Cruz-Mazo,0000-0003-4668-1801,,,,,,
"Cruz,C.",Pompe C.,Sta. Cruz,0000-0003-4058-885X,,,,,,
"Cruz,C.",Sara C.,Santos Cruz,0000-0002-1518-9446,Universidade do Porto Faculdade de Economia,117278,Economics,Doutoramento/ PhD (Approved with Distinction by unanimity),2008,2014
"Cruz,C.",Sara C.,Santos Cruz,0000-0002-1518-9446,Universidade do Porto Faculdade de Economia,117278,Economics,"Master in Economics (Approved with the max. classification, ""Muito Bom"")",2006,2008
"Cruz,C.",Sara C.,Santos Cruz,0000-0002-1518-9446,Universidade de Coimbra Faculdade de Economia,37829,Economics,First Degree (final classification:15/20; top 5% best graduates),2001,2001
"Cruz,C.",E. C.,Breña-Cruz,0000-0001-9185-966X,,,,,,
"Cruz,C.",JONATHAN C.,CRUZ RENGIFO,0000-0002-4291-7760,,,,,,
"Cruz,C.",Danilo C.,Dela Cruz,0000-0002-2231-5164,Mapua University School of Information Technology,596620,SOIT,Undergraduate,2019,2023
"Cruz,C.",Juan C.,Cruz-Victoria,0000-0002-0358-1985,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,42576,Automatic Control,Doctor in Sciences,2003,2007
"Cruz,C.",Betsy C.,Vázquez-Cruz,0009-0001-9839-3118,,,,,,
"Cruz,C.",Julio C.,Cruz-Ortiz,0009-0001-0002-0293,,,,,,
"Cruz,C.",ANGELES C.,TECALCO-CRUZ,0000-0001-9199-3834,,,,,,
"Cruz,C.",Mario C.,Cruz-Mercado,0009-0007-1365-3237,,,,,,
"Cruz,C.",C. Roberto,Cruz-Cabrera,0009-0000-7388-2989,Universidad Loyola Andalucía,https://ror.org/0075gfd51,Psicología,Máster Universitario en Neuropsicología,2021,2022
"Cruz,C.",Raúl C.,Cruz-Gómez,0000-0002-2815-4496,,,,,,
"Cruz,C.",Mary Ann C. Dela ,Cruz,0009-0002-9873-6771,,,,,,
"Cruz,C.",Sheila C S,Janota Cruz,0000-0002-4905-518X,,,,,,
"Cruz,C.",Ana C,de la Cruz Calleja,0009-0002-6023-3474,,,,,,
"Cruz,C.",Jose C.,Martin de la Cruz,0000-0002-0486-5744,,,,,,
"Cruz,C.",Artur M. C.,Brito da Cruz,0000-0001-6136-587X,,,,,,
"Cruz,C.","DIAS, E. S. C.;Dias, E. da S.C;DIAS, EMERSON DA SILVA CRUZ",Silva Cruz Dias,0009-0002-4538-3095,,,,,,
"Pearson,J. A.",J. Stephen,Pearson,0000-0002-6252-2432,,,,,,
"Pearson,J. A.",J Michael,Pearson,0000-0002-1000-4107,The University of Texas at Austin,12330,Mathematics,PhD,1989,
"Pearson,J. A.",Scott J.,Pearson,0000-0003-3676-2050,,,,,,
"Smith,J. L.",Richard J.,Smith,0000-0002-0450-2919,University of Zurich,grid.7400.3,Organic Chemistry,Dr. sc. nat.,1998,2003
"Smith,J. L.",Richard J.,Smith,0000-0002-0450-2919,University of Zurich,grid.7400.3,Organic Chemistry,Dipl. Chem.,1992,1998
"Smith,J. L.",Cameron J.,Smith,0000-0002-7091-150X,,,,,,
"Smith,J. L.",Rhian J.,Smith,0000-0003-2836-0246,,,,,,
"Smith,J. L.",J. Andrew C.,Smith,0000-0001-9188-0258,,,,,,
"Smith,J. L.",J. Allyn,Smith,0000-0002-6261-4601,Florida Institute of Technology,5401,Space Sciences,Ph.D.,1990,1997
"Smith,J. L.",J. Allyn,Smith,0000-0002-6261-4601,Florida Institute of Technology,5401,Space Technology,M.S.,1981,1984
"Smith,J. L.",J. Allyn,Smith,0000-0002-6261-4601,Florida Institute of Technology,5401,Space Science,M.S.,1975,1978
"Smith,J. L.",J. Allyn,Smith,0000-0002-6261-4601,Florida Institute of Technology,5401,Biology,B.S.,1971,1975
"Smith,J. L.",J,Smith,0000-0001-9448-8470,,,,,,
"Smith,J. L.",Peter J S,Smith,0000-0003-4400-6853,University of Cambridge,2152,Zoology,MA,,
"Smith,J. L.",Peter J S,Smith,0000-0003-4400-6853,University of Aberdeen,1019,Zoology,PhD,1976,1980
"Smith,J. L.",Peter J S,Smith,0000-0003-4400-6853,University of Aberdeen,1019,Zoology,BSc Hons 1st Class,1972,1976
"Smith,J. L.",Carolyn J,Smith,0000-0002-6873-3089,Roosevelt University,2460,,ED.D,1977,2000
"Smith,J. L.",David J,Smith,0000-0002-9256-4967,,,,,,
"Smith,J. L.",Alan J ,Smith,0000-0001-7868-8501,,,,,,
"Smith,J. L.",Oliver J.,Smith,0000-0003-3687-9398,,,,,,
"Smith,J. L.",Michelle J,Smith,0000-0001-8249-4195,,,,,,
"Smith,J. L.",J. R.,Smith,0000-0003-4475-7446,University of Tennessee Knoxville,4292,Marketing & Transportation,Ph.D,1975,1979
"Smith,J. L.",Madelyn J.,Smith,0009-0001-2849-2831,,,,,,
"Smith,J. L.",Roger J,Smith,0000-0002-3595-781X,University of Washington,7284,Physics,PhD,1979,
