input,given,family,orcid,title,funder,identifier,award,start,end
Rebecca Johnson,Rebecca,Johnson,0000-0002-4158-532X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6040-8302,,,,,,
Rebecca Johnson,Rebecca ,Johnson ,0000-0001-7619-9659,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0006-2109-1150,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4382-6828,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6315-278X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0004-3844-443X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5938-012X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0000-7611-773X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5104-2919,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0009-9295-3100,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0002-8652-9003,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2475-6622,,,,,,
Rebecca Johnson,Rebecca ,Johnson,0009-0000-0060-1410,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4839-6310,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1006-7586,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0006-9225-5538,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-7560-4672,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-8684-9202,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2249-2643,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0005-5127-3935,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0009-4107-5328,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6592-9089,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4285-9177,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7359-6595,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-1920-9774,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,"Dissent, concurrence, and other judicial opinions:  reason(s) and passion in the production of law",Social Sciences and Humanities Research Council,http://dx.doi.org/10.13039/501100000155,25441,2003,2006
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,"Mediating judicial conflict:  identities, topics and time",Social Sciences and Humanities Research Council,http://dx.doi.org/10.13039/501100000155,82333,2010,2013
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,Religious diversity and its limits,Social Sciences and Humanities Research Council,http://dx.doi.org/10.13039/501100000155,62952,2008,2009
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,A systematic review of knowledge dissemination approaches to inform public health policy.  ,Public Health England,http://dx.doi.org/10.13039/501100002141,,2016,2017
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,Evaluation of the Eat Well Move More weight management service,Solihull Metropolitan Borough Council ,,,2015,2016
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,Exploring innovations in Transition to adulthood (EXIT Study),Economic and Social Research Council,http://dx.doi.org/10.13039/501100000269,ES/T001348/1,2019,2023
Rebecca Johnson,Rebecca,Johnson,0000-0001-7253-7454,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8254-9029,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5281-0924,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-3035-2827,,,,,,
Rebecca Johnson,Rebecca May,Johnson,0000-0001-5529-1261,Reading Barbara Köhler's Niemands Frau as a Radical Poetic Response to Homer's Odyssey,Arts and Humanities Research Council,http://dx.doi.org/10.13039/501100000267,,2010,2013
Rebecca Johnson,Rebecca McKay,Johnson,0000-0001-5697-4638,Medical Library Outreach,National Network/Libraries of Medicine,,,2003,2011
Rebecca Johnson,Rebecca Mary,Johnson,0009-0007-2170-2553,,,,,,
Rebecca Johnson,Rebecca L,Johnson,0000-0002-8771-6161,,,,,,
Rebecca Johnson,Rebecca Kate,Johnson,0009-0006-2417-690X,,,,,,
Rebecca Johnson,Rebecca L,Johnson,0009-0002-2247-5990,,,,,,
Rebecca Johnson,Rebecca M,Johnson,0000-0003-0517-5769,,,,,,
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,,,,,,
Rebecca Johnson,Rebecca L.,Johnson,0000-0001-7321-0744,,,,,,
Rebecca Johnson,Rebecca A,Johnson,0009-0001-2463-3510,,,,,,
Rebecca Johnson,Rebecca Anna,Johnson,0009-0006-6411-9635,,,,,,
Rebecca Johnson,Rebecca Jean,Johnson,0000-0002-0084-4727,,,,,,
Rebecca Johnson,Rebecca,Johnson Bista,0000-0003-3375-7053,,,,,,
Rebecca Johnson,Rebecca,Harper-Johnson,0000-0003-3310-2364,,,,,,
Rebecca Johnson,Rebecca,Johnson Beller,0000-0002-9742-7806,,,,,,
Rebecca Johnson,Stephanie Rebecca Howerton,Johnson,0009-0008-4325-615X,,,,,,
Sarah Kalish,Sarah,Kalish,0009-0001-1277-5124,,,,,,
Regina Linville,Regina,Linville,0000-0003-3732-5944,,,,,,
Ina Park,InA,PARK,0000-0003-0266-5068,,,,,,
Ina Park,Ina,PARK,0009-0008-3729-6091,,,,,,
Ina Park,Ina,Park,0009-0008-7558-7092,,,,,,
Ina Park,Ina,Park,0000-0003-0161-711X,,,,,,
J. A. Pearson,J. Stephen,Pearson,0000-0002-6252-2432,,,,,,
J. A. Pearson,J Michael,Pearson,0000-0002-1000-4107,,,,,,
J. A. Pearson,Scott J.,Pearson,0000-0003-3676-2050,,,,,,
Sarah Jane Rollin,Sarah,GUILLAUD-ROLLIN,0009-0001-6283-7709,,,,,,
Julie L. Smith,Julie,Smith,0000-0001-5588-3638,,,,,,
Julie L. Smith,JULIE,SMITH,0000-0001-7163-6629,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-5059-9918,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-0065-5165,,,,,,
Julie L. Smith,Julie,Smith,0000-0001-9933-3873,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-0392-1174,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-1412-7443,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-4497-4387,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-0874-1095,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-2556-9020,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-2804-0285,,,,,,
Julie L. Smith,Julie,Smith,0000-0001-6037-9428,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-1196-7386,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-0429-7900,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-3622-5469,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-4716-9685,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-3136-7118,,,,,,
Julie L. Smith,Julie,smith,0000-0003-4471-7970,,,,,,
Julie L. Smith,Julie,Smith,0009-0005-1725-6314,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-1725-5443,National Parliaments after the Lisbon Treaty: Domestic Watchdogs or Autonomous Players? (EU-ParlWatch),Economic and Social Research Council,,ES/I014853/1,2011,2014
Julie L. Smith,Julie,Smith,0000-0002-5549-0022,,,,,,
Julie L. Smith,Julie,Smith,0009-0002-2001-4250,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-4870-968X,,,,,,
Julie L. Smith,Julie,Smith,0000-0001-8569-1303,,,,,,
Julie L. Smith,Julie,Smith,0009-0004-8654-8575,,,,,,
Julie L. Smith,Julie,Smith,0009-0009-0441-3682,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-2927-9514,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-1135-1191,,,,,,
Julie L. Smith,Julie,Smith,0009-0005-9963-5456,,,,,,
Julie L. Smith,Julie,Smith,0009-0005-9862-5627,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-2347-2070,,,,,,
Julie L. Smith,Julie,Smith,0009-0001-7392-2319,,,,,,
Julie L. Smith,Julie,Winter-Smith,0000-0001-5782-9176,Epidemiology of cardiovascular disease among Pacific people in New Zealand,Health Research Council of New Zealand,http://dx.doi.org/10.13039/501100001505,20/105,2020,
Julie L. Smith,Julie,Bajic Smith,0009-0001-3989-5433,,,,,,
Julie L. Smith,Julie,Cremeans-Smith,0000-0002-2123-4637,,,,,,
Julie L. Smith,Julie,Smith-Yliniemi,0000-0001-7988-9751,,,,,,
Julie L. Smith,Julie,Smith-Gagen,0000-0001-9796-3409,,,,,,
Julie L. Smith,Julie Ann,Smith,0000-0002-4175-0823,,,,,,
Julie L. Smith,Sanne Julie,Smith,0000-0002-3487-0528,,,,,,
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Regulating mothers’ milk markets and exchange,Australian Research Council,http://dx.doi.org/10.13039/501100000923,FT140101260,2014,2018
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Scaling up the Baby Friendly Hospital Initiative in support of maternal and newborn health,Medical Research Future Fund (MRFF),,2023_MRF2031430 - 2031430,2024,2024
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,The economics of mothers milk and the market for infant food,Australian Research Council,http://dx.doi.org/10.13039/501100000923,DP0451117,2004,2006
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Working while breastfeeding: best practice strategies for workplaces and childcare centres,Australian Research Council,http://dx.doi.org/10.13039/501100000923,LP0990975,2009,2012
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Quit in General Practice: a cluster randomised trial of enhanced in-practice support for smoking cessation,National Health and Medical Research Council,http://dx.doi.org/10.13039/501100000925,568617,2009,2012
Julie L. Smith,Julie Smith,Julie Smith,0009-0009-0349-2243,,,,,,
Julie L. Smith,Julie Sian,Smith-Lewis,0009-0005-0845-5100,,,,,,
Julie L. Smith,Julie C.,"Fanburg-Smith, M.D.",0000-0002-1395-4730,,,,,,
Julie L. Smith,Julie C.,"Fanburg-Smith, M.D.",0000-0002-5404-096X,,,,,,
Eric A. Collisson,Eric,Collisson,0000-0002-2829-355X,,,,,,
Eric A. Collisson,Eric,Collisson,0000-0001-8037-9388,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0001-5695-0388,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0002-7656-4481,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0003-0943-3622,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0002-0278-0632,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0003-0508-4728,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0002-9503-5075,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0001-5769-7695,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0001-9494-2514,,,,,,
Ryan M. Houston,Ryan,Houston,0009-0002-8049-9560,,,,,,
Ryan M. Houston,Ryan,Houston-Dial,0009-0007-5106-3166,,,,,,
Andy Johnson,Andy,Johnson,0000-0001-6780-1492,,,,,,
Andy Johnson,Andy,Johnson,0009-0007-1187-0529,,,,,,
Andy Johnson,Andy,Johnson,0000-0003-0846-7396,,,,,,
Andy Johnson,Andy Lain,Johnson,0009-0008-7022-847X,,,,,,
Andy Johnson,"Andy, Andrew",Johnson,0009-0008-4805-6341,,,,,,
Andy Johnson,Andrew (Andy),Johnson,0009-0007-5951-1293,,,,,,
Betty Y. Lin,Betty,Lin,0000-0001-7261-7796,,,,,,
Betty Y. Lin,Betty Fwei-chien,Lin,0000-0002-9585-6842,,,,,,
Tina Liu,Tina,liu,0000-0003-1976-9808,,,,,,
Tina Liu,Tina,Liu,0000-0003-0755-3495,,,,,,
Tina Liu,Tina,Liu,0009-0004-9449-1038,,,,,,
Tina Liu,Tina,Liu,0000-0001-5795-353X,,,,,,
Tina Liu,Tina,Liu,0009-0009-8246-7715,Shared Affects: Chinese Canadian Engagement and Community Building in Subtle Asian Traits,Social Sciences and Humanities Research Council,https://ror.org/04j5jqy92,,2021,2022
Tina Liu,Tina,Liu,0009-0009-8246-7715,Comprehensive Study on the Impacts of EDI initiatives on Racialized Librarians at Canadian Academic Libraries,Canadian Association of Research Libraries,https://ror.org/001tw8739,,2024,
Tina Liu,Tina,Liu,0000-0003-1297-7102,Exploring Diverse Mechanisms of Type III CRISPR-Cas signaling.,National Institute of General Medical Sciences,http://dx.doi.org/10.13039/100000057,R35GM156941,2025,2030
Tina Liu,Tina,Liu,0000-0003-1297-7102,Mechanism of Co-Transcriptional DNA and RNA Targeting by Type III CRISPR-Cas Systems,National Institute of General Medical Sciences,http://dx.doi.org/10.13039/100000057,F32GM122334,2017,2019
Tina Liu,Tina C.,Liu,0000-0002-9500-9096,,,,,,
Tina Liu,Tina J.,Liu,0009-0004-8550-1628,,,,,,
Kendra G. Bergstrom,Kendra,Bergstrom,0000-0003-4253-6551,,,,,,
Solomon Dobrowski,Solomon,Dobrowski,0000-0003-2561-3850,,,,,,
Michael Alan Emmett,Michael,Emmett,0000-0002-3284-1117,,,,,,
Chris Feldman,Chris,Feldman,0000-0003-2988-3145,,,,,,
Xavier Mayali,Xavier,Mayali,0000-0002-2170-0773,,,,,,
Sandra Trujillo,sandra,trujillo,0000-0001-9714-0752,,,,,,
Sandra Trujillo,Sandra,Trujillo,0000-0003-3100-0102,Beca Maestría ,Fundación Carolina,http://dx.doi.org/10.13039/501100015650,,2010,2011
Sandra Trujillo,Sandra,Trujillo,0000-0003-3100-0102,Beca Doctorado,Asociación Universitaria Iberoamericana de Postgrado,http://dx.doi.org/10.13039/501100006371,,2013,2016
Sandra Trujillo,Sandra,Trujillo,0000-0003-3100-0102,Perfiles Biopsicosociales en Sujetos Expuestos al Conflicto Colombiano ,"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",http://dx.doi.org/10.13039/100007637,495-2020,2017,2021
Sandra Trujillo,sandra rocio ,trujillo,0009-0001-2817-5617,,,,,,
Sandra Trujillo,Sandra Ximena ,Trujillo ,0009-0007-2259-6844,,,,,,
Sandra Trujillo,Sandra,Nodal Trujillo,0000-0002-2900-5089,,,,,,
Sandra Trujillo,Sandra,Trujillo Vicente,0009-0004-5049-8027,,,,,,
Sandra Trujillo,Sandra ,Trujillo Velez,0000-0003-2750-9424,,,,,,
Sandra Trujillo,Sandra ,Trujillo Pacheco,0000-0002-3472-8986,,,,,,
Sandra Trujillo,Sandra,Trujillo Sierra,0009-0004-5563-6281,,,,,,
Sandra Trujillo,sandra,trujillo vicente,0009-0009-5773-3778,,,,,,
Sandra Trujillo,Sandra,Ayala Trujillo  ,0000-0002-1579-7038,,,,,,
Sandra Trujillo,Sandra,Martínez Trujillo,0009-0004-1683-0401,,,,,,
Sandra Trujillo,Sandra ,Aburto. Trujillo,0009-0006-2911-9306,,,,,,
Sandra Trujillo,Sandra ,Trujillo Quispe,0000-0002-9833-3430,,,,,,
Sandra Trujillo,Sandra,Clara-Trujillo,0000-0002-6455-2993,Predoctoral grant - FPU program (Ayudas para la formación de profesorado universitario),Spanish Government.  Ministry of Universities,,Ref.: FPU17/05810,,
Sandra Trujillo,Sandra,Clara-Trujillo,0000-0002-6455-2993,Competitive mobility grants for pre-doctoral students with FPU grant. ,Spanish Government. Ministry of Universities.,,Ref.: EST21/00526,,
Sandra Trujillo,Sandra,Clara-Trujillo,0000-0002-6455-2993,"Predoctoral Regional Fellowship. VALi+d program (Programa Ayudas para la contratación de personal investigador en formación de carácter predoctoral de la Conselleria d’Educació, Cultura i Esport de la Comunitat Valenciana ","Conselleria de Cultura, Educación y Ciencia, Generalitat Valenciana",http://dx.doi.org/10.13039/501100014849,Ref.: ACIF/2018/145,,
Sandra Trujillo,Sandra,Clara-Trujillo,0000-0002-6455-2993,Predoctoral researcher - Fellowship from the internal program of the Universitat Politècnica de València (FPI-UPV),Universitat Politècnica de València,https://ror.org/01460j859,,,
Sandra Trujillo,Sandra,Clara-Trujillo,0000-0002-6455-2993,Collaboration Grant (for introduction in Research Structures of the University,Universitat Politècnica de València,https://ror.org/01460j859,Ref.: 2015/41/00007,,
Sandra Trujillo,Sandra Migdonia,Tovar Trujillo,0000-0002-5325-2725,,,,,,
Sandra Trujillo,Sandra Valeria,Soto Trujillo,0000-0001-7878-8035,,,,,,
Sandra Trujillo,SANDRA MILENA,GUALTERO TRUJILLO,0000-0003-3348-2387,,,,,,
Sandra Trujillo,SANDRA MILENA,TRUJILLO CUELLAR,0000-0001-8727-0916,,,,,,
Sandra Trujillo,Sandra Migdonia,Tovar Trujillo,0009-0006-7278-3237,,,,,,
Sandra Trujillo,Sandra Viviana ,TRUJILLO OLARTE ,0000-0002-9271-7257,,,,,,
Sandra Trujillo,Sandra Iris,Trujillo Jesús,0009-0008-7032-8219,,,,,,
Sandra Trujillo,sandra lorena,trujillo vega,0000-0002-4992-4461,,,,,,
Sandra Trujillo,JACQUELINE SANDRA,HUARAC TRUJILLO,0000-0003-3417-7608,,,,,,
Sandra Trujillo,Sandra Milena ,Vivas Trujillo,0009-0001-7601-8114,,,,,,
Sandra Trujillo,Sandra Inés,Trujillo Juárez,0000-0001-8555-1116,,,,,,
Sandra Trujillo,Sandra Magaly,Lipe Trujillo,0009-0001-2839-3702,,,,,,
Sandra Trujillo,Sandra Lorena,Giraldo-Trujillo,0009-0006-1645-608X,,,,,,
Sandra Trujillo,SANDRA MILENA,GRANADOS TRUJILLO,0009-0003-9209-3338,,,,,,
Sandra Trujillo,SANDRA MILENA,TRUJILLO PEÑA,0009-0008-6344-9426,,,,,,
Sandra Trujillo,Sandra Tahití,González Trujillo,0009-0007-0318-1512,,,,,,
Sandra Trujillo,Sandra Elizabeth,Trujillo Lévano ,0000-0002-9161-3499,,,,,,
Sandra Trujillo,Sandra Karina,De la Cruz Trujillo,0000-0001-5371-0629,,,,,,
Isa Woo,Isa,Woo,0000-0002-8447-9236,,,,,,
Stephanie Yelenik,Stephanie,Yelenik,0000-0002-9011-0769,Collaborative Research: Do ecological feedbacks across trophic levels affect alternate stable states and restoration of tropical forests?,National Science Foundation - Directorate for Biological Sciences,,1557177,2016,2019
Patrick A. Bock,Florian Patrick,Bock,0000-0002-6976-8531,,,,,,
Patrick A. Bock,patrick andrew,bock,0000-0003-4671-7472,,,,,,
