"Authors, Primary",Title Primary,organism,where,Pub Year,Keywords,Abstract,Link
"Drabble, Tiara M.","EFFICACY OF BARRINGTONIA ASIATICA AS CONTROL FOR CORALLIVOROUS SEASTARS, ACANTHASTER PLANCI AND CULCITA NOVAEGUINEAE",invertebrate,marine,2017,"corallivores; seastars; Barringtonia asiatica ; fish poison tree; Acanthaster planci ; Culcita novaeguineae ; crown of thorns seastar; cushion star; population control; biocontrol; Moorea, French Polynesia",,
"Fink, Marissa R.","FAAPUS ON MOOREA: A COMPARISON OF PAST, PRESENT, AND FUTURE","plant, agriculture",terrestrial,2017,"Island agriculture; food security ; Introduced Polynesian crop species; Shannon Index, Diversity, Moorea, French Polynesia; subsistence farmers, smallholder farming",,
"Glover, Aaron C.","ANCIENT CORALS, MODERN ISSUES: A SURVEY AND ASSESSMENT OF CONGLOMERATE FOSSILS FOR USE IN CONSERVATION PALEOBIOLOGY",invertebrate,marine,2017,"conglomerate; fossils; coral reefs; Moorea, French Polynesia; motu; diversity",,
"Hernandez, Christopher",RESOURCE PATCHINESS AS A DETERMINANT FOR NERITA PLICATA ZONATION,invertebrate,marine,2017,"gastropod; zonation; littoral zone, Nerita plicata ; Mo’orea, French Polynesia; periphyton",,
"Hong, Holly M.","ADHESIVE STRENGTHS IN THE GASTROPOD FAMILY NERITIDAE ALONG AN ELEVATION GRADIENT ON MOOREA, FRENCH POLYNESIA",invertebrate,freshwater,2017,"gastropod, Neritidae, biomechanics, freshwater ecology, Moorea, adhesion",,
"Howell, Alexandra M.","POPULATION DYNAMICS FOLLOWING REINTRODUCTION OF PARTULA ON MOOREA, FRENCH POLYNESIA",invertebrate,terrestrial,2017,"Snail; mollusk; reintroduction; Partula; population biology; dispersal; Moorea, French Polynesia; predation",,
"Humeston, Brent M.","THE EFFECTS OF OCEAN ACIDIFICATIONON FERTILIZATION AND EMBRYOGENESIS IN RELATION TO THE EVOLUTIONARY DEVELOPMENTAL BIOLOGY OF SEA URCHINS IN MOOREA, FRENCH POLYNESIA",invertebrate,marine,2017,"echinoids; sea urchins; Tripneustes gratilla ; Echinometra mathaei ; ocean acidification; evolutionary development; heterchrony; embryogenesis; developmental timing; early development; abundance surveys; Moorea, French Polynesia",,
"Jamar, Charlotte",LEARNING IN OCTOPUS BOCKI,invertebrate,marine,2017,"Octopus bocki; learning; intelligence; Cephalopod; Moorea, French Polynesia",,
"Keck, Franklin Dean","AN ANALYSIS OF MARINE PRIMARY PRODUCTION: CHARACTERIZING SPATIAL VARIATION OF BENTHIC AND PLANKTONIC MICROBIAL ACTIVITY ALONG MARGINS OF PAO PAO BAY, MOOREA, FRENCH POLYNESIA","microbe, algae",marine,2017,"photosynthesis, algae, primary production, microbes, French Polynesia, estuary",,
"Lewis, Hannah",EFFECTS OF BOAT TRAFFIC ON PARROTFISH ABUNDANCE AND FEEDING BEHAVIOR,fish,marine,2017,coral reef resilience; anthropogenic noise pollution; motorboat disturbance; human and natural systems,,
"McAlpine-Bellis, Liz",THE EFFECTS OF SNORKELERS ON FISH BEHAVIOR,fish,marine,2017,community ecology; tourism impact; reef fish; behavioral ecology; fish aggression,,
"Nagra, Kiranpreet K.","THE DECOMPOSITION OF ALLOCHTHONOUS INPUTS IN TROPICAL ISLAND STREAMS ON MOOREA, FRENCH POLYNESIA","plant, microbe",freshwater,2017,tropical; island; stream; decomposition; allochthonous; fruit; flower; leaf; shredders; microbial; energy; food web; organic; Syzygium; Hibiscus,,
"Paras, Elana Y.","COMPARISON OF THE THERMOREGULATORY BEHAVIORS AND HABITAT PREFERENCES OF TWO CRYPTIC SKINK SPECIES (EMOIA IMPAR AND EMOIA CYANURA) IN MOOREA, FRENCH POLYNESIA",vertebrate,terrestrial,2017,"skinks;  Emoia; habitat preference; behavior; thermoregulation; thermal range, thermal heterogeneity; French Polynesia;  climate change; human land use",,
"Poindexter, Sky M.","EFFECTS OF OCEAN ACIDIFICATION AND GLOBAL WARMING ON PADINA BORYANA, A LIGHT CALCIFYING MACRO-ALGAE",algae,marine,2017,"Padina; Halimeda;  photosynthesis; Moorea, French Polynesia; ocean acidification; global warming",,
"Rosen, Anne K.",MECHANICAL CONTROL OF MICONIA CALVESCENS:EFFICACY OF CONTROLLING AN INVASIVE SPECIES WITHOUT CHEMICAL OR BIOLOGICAL INTERVENTION,plant,terrestrial,2017,Miconia calvescens; invasive alien species (IASs); invasive plant; management strategies;French Polynesia; Mo’orea; control technologies; community engagement,,
"Sawyer, Charles M.","COLONIZATION PATTERNS OF INVERTEBRATES IN TEMPORARY STREAM SYSTEMS ON MOOREA, FRENCH POLYNESIA",invertebrate,freshwater,2017,"terrestrial invertebrates; aquatic invertebrates; temporary streams; soil rehydration; desiccation-resistance; colonization; dispersal; Moorea, French Polynesia",,
"Schelvis, Madelief",THE ASSOCIATION BETWEEN THE SEA STAR SHRIMP PERICLIMENES SOROR AND ITS ASTEROID HOSTS: ASSESSING PREFERENCES IN HOST SPECIES AND FOOD CHOICE,invertebrate,marine,2017,symbiosis; commensalism; host-switching; feeding preference; Periclimenes soror ; Culcita novaeguineae; Linckia laevigata,,
"Uva, Victoria M.",RIDGELINES AS REFUGES FOR A THREATENED CANOPY TREE METROSIDEROS COLLINA FROM A “NATIVE INVASIVE” FERN DICRANOPTERIS LINEARIS,plant,terrestrial,2017,refuge habitat; invasive species; French Polynesia; Metrosideros collina ; Dicranopteris linearis ; competition,,
"BEDNARSKI, V",Urchin News: Diadema savignyi’s Herbivorous Role in a Coral-algae Phase Shift in Mo’orea,invertebrate,marine,2016,,, [PeerJ Preprint]
"BULPITT, G.  ","Congregating Behavior of the Green House Millipede, Oxidus gracilis",invertebrate,terrestrial,2016,,, [PeerJ Preprint]
"CONNORS, B.","Distribution and Biologic Implications of Plastic Pollution on the Fringing Reef of Moorea, French Polynesia",invertebrate,marine,2016,,,[PeerJ Preprint]
"GOLDSTEIN, A. "," A 20-year Comparison of Shrimp Populations in the Opunohu Valley Watershed on Moorea, French Polynesia. ",invertebrate,freshwater,2016,,,[PeerJ Preprint]
"HERBERT, A.  ",The Impact of Archaeological Clearing on Secondary Succession in a Tropical Rainforest,plant,terrestrial,2016,,, [PeerJ Preprint]
"JOHNSON, I.  ","Out of Place: A Study of the Mangrove Crab Cardisoma carnifex on Mo'orea, French Polynesia",invertebrate,terrestrial,2016,,, [PeerJ Preprint]
"KLEIN, Z.  ","Choosing Favorites: Host Preference of a Vascular Epiphyte, Didymoglassum tahitense. ",plant,terrestrial,2016,,,[PeerJ Preprint]
"KUMLER, W",Evidence Against a Mechanism of Allelopathy in the Green Alga Chlorodesmis fastigiata,"invertebrate, algae",marine,2016,,,[PeerJ Preprint]
"LAPAGLIA, N.  ",Benthic Boom: Insight into Moorean Insect Colonization. ,invertebrate,freshwater,2016,,,[PeerJ Preprint]
"Lee,J.",The feasibility of using butterflyfishes (Family Chaetodontidae) as bioindicators of coral reef health,fish,marine,1997,Moorea;French Polynesia;corals;Cnidaria;Osteichthys;environmental health;Chaetodontidae;fish;Chaetodon trifasciatus;Chaetodon citrinellus, ,[PeerJ Preprint]
"MCDONNELL, M.  ",Runoff response to rainfall variance in managed and unmanaged lands in the Opunohu Valley,"plant, soils",terrestrial,2016,,,https://figshare.com/articles/Runoff_response_to_rainfall_variance_in_managed_and_unmanaged_lands_in_Mo_orea_French_Polynesia/4536059
"MULLEN, R.",Overwater Oceanic Resort Bungalows: Marine Diversity Enablers or Inhibitors?,"invertebrate, algae",marine,2016,,,[PeerJ Preprint]
"O'MALLEY, L","Assessing Coral Health and Vermetid Gastropod Density in Moorea, French Polynesia.Distribution and Behavior",invertebrate,marine,2016,,,[PeerJ Preprint]
"RICE, K",Vulnerability and Resilience of Transitioning Small-scale Coral Reef Fisheries in Island Socio-ecosystems: Size-selection of Parrotfish,vertebrate,marine,2016,,,[PeerJ Preprint]
"RUNZEL, C. ",Sponge Physiology: The Effects of Temperature on the Reaggregation and Regeneration of Haliclona reniera.,invertebrate,marine,2016,,,[PeerJ Preprint]
"SPANKOWSKI, R","The Effects of Sound on the Survivorship and Embryonic Development of a Marine Gastropod Stylocheilus striatus, (Aplysiidae).",invertebrate,marine,2016,,,[PeerJ Preprint]
"STRIEGEL, T.  ","Targeted Defense: The Influence of Predator Type on Defensive Behavior of Pholcus ancoralis, a Tropical Web-building Spider.  [PeerJ Preprint]",invertebrate,terrestrial,2016,,,[PeerJ Preprint]
"TOMAN, J.",Ethnobotanical Management of Pandanus tectorius,plant,terrestrial,2016,,,[PeerJ Preprint]
"VAN WERT, J. ",Metabolic Responses of Photosynthetic Sea Slugs to a Changing Environment,invertebrate,marine,2016,,,[PeerJ Preprint]
"WITTE, E",Conus bonus! Facilitation of Conus Gastropods by Invasive Mangroves,invertebrate,marine,2016,,,[PeerJ Preprint]
"YOKLEY, A.",The Effects of Temperature on the Cushion Star Culcita novaeguineae Distribution and Behavior,invertebrate,marine,2016,,,[PeerJ Preprint]
"ZOBELL, V.","Impacts of Deforestation on Passerine Avifauna in the Opunohu Valley of Mo'orea, French Polynesia",vertebrate,terrestrial,2016,,, [PeerJ Preprint]
"ZUGHAIYIR, F.  ","Best Beachfront Real Estate: Unveiling Microhabitat Segregation of Sympatric Species of Nocturnal Geckos Found on the Island of Moorea, French Polynesia.  ",vertebrate,terrestrial,2016,,,[PeerJ Preprint]
"BOBROSKIE, JA.   ",Assessing the Effectiveness of Marine Protected Areas on Large Gastropod Stocks.,invertebrate,marine,2015,,,
"CONKLIN, BN.   ",Respiration Response of Epipelagic Marine Copepods to Changes in Water Temperature and Salinity.,invertebrate,marine,2015,,,
"GALLARDO, KV.   ",Ontogenetic and Physiological variation of Iridescence in Diadema savignyi.  ,invertebrate,marine,2015,,,
"HORTON, KT.   ",Medicinal Plant Effects on the Regeneration and Respiration Rates of Brittle Stars.,plant,marine,2015,,,
"INGRAHAM, KR","Dialect Recognition in the Common Myna Acridotheres tristis on the Island of Moorea, French Polynesia.",bird,terrestrial ,2015,,,
"Lee,J. S. F.",Tradeoffs of recruiting inside adult colonies in the damselfish Stegastes nigricans,fish,marine,1997,Moorea;French Polynesia;fish;Stegastes nigricans;territoriality;behavior;aggression;Pomacentridae;Osteichthys, ,
"Lee,J.","The species composition and distribution of the nudibranchs of Cook's Bay and the aggregation behavior of Glossodoris cincta (Bergh 1888) in Moorea, French Polynesia",invert,marine,2001,Moorea;French Polynesia;Nudibranchia;Mollusca;Chromodoris boucheti;Risbecia imperialis;Chromodorididae;Glossodoris hikuerensis;Glossodoris cincta;distribution;diversity;habitat preference,"Despite the diversity of the order Nudibranchia, not much is known about these animals, especially in the South Pacific region. The proposed objectives of this study were to determine the species composition and distribution (population density, species' location, and habitat parameters) of the nudibranchs of Cook's Bay, Moorea, and to determine the reasons behind aggregations of Glossodoris cincta. Y-maze trials were conducted to test behavioral preferences. All field and laboraty work was conducted at the Richard B. Gump South Pacific Biological Research Station on the island of Moorea in the Society Islands archipelago. Observations showed that four species are present within Cook's Bay, Chormodoris boucheti, Risbecia imperalis, Glossodoris hikuerensis, and Glossodoris cincta. Nudibranch species were not found in the transects. Chi-squared analysis showed significance for a species' preference for certain habitat parameters (p-value 0.001 and 0.000). T-test and chi-square analysis showed no significance in the preference trials run in the Y-maze (p-value 0.211 and 0.255). The Y-maze results indicate that nudibranchs show no preference for either the substrate they were found on or a conspecific from their aggregation. However, based on habitat parameter data, and Y-maze results, both substrate and conspecifics are important to a nudibranch.",
"LIN, D.  ",Holothurian Host Size and its Effects on Symbiont Colonization.,invertebrate,marine,2015,,,
"LUND, I.  ",Moorea's Newest Invasive Species: The Distribution and Behavior of Phelsuma laticauda. ,vertebrate,terrestrial ,2015,,,
"SHAEFFER, C.  ","'Tis but a Scratch: The Effects of Autotomy and Regeneration on the Locomotion and Behavior of the Brittle Stars (Echinodermata: Ophiuroidea) of Moorea, French Polynesia.",invertebrate,marine,2015,,,
"STEELE, EP.  ",Stomatopod Larval Eye Development: A Morphological Comparison of Two Sympatric Species of Pullosquilla.,invertebrate,marine,2015,,,
"TA, ET.  ",An Analysis of Armored Shorelines as Barriers for Coastal Vegetation. ,geology,terrestrial ,2015,,,
"VANITCHANANT, N.  ",Variation in Epifauna Community and Epiphyte Cover Among Marine Algae.,plant,marine,2015,,,
"WATSON, FN.  ","Phylogenetic Comparative Ecology of the Ferns of Moorea, French Polynesia.",plant,terrestrial ,2015,,,
"ZIEGENHORN, MA.  ",Best Dressed Test: A Study of the Covering Behavior of the Collector Urchin Tripneustes gratilla.,invertebrate,marine,2015,,,
"Agnew, Lindsey P.",Leaf morphogenesis of the giant fern (Angiopteris evecta) in French Polynesia,plant,terrestrial,2014,"Angiopteris evecta; heteroblasty; heterophylly; compoundness; morphogenesis; Moorea, French Polynesia",,
"Chang, Michelle","Effects of agricultural land use on stream habitats, riparian zones, water quality, and freshwater biodiversity in Moorea, French Polynesia","invertebrates, fish",freshwater,2014,"agriculture; land use; community structure; Moorea, French Polynesia; riparian zone; water quality; freshwater biodiversity; stream habitat; canopy",,
"Chen, Rona L.",Biodiversity of marine invertebrate scavengers in different benthic substrates,invertebrates,marine,2014,marine invertebrate; scavenger; benthic substrate; baited trap; community composition,,
"Everett, Christopher J.","Shell morphometrics of marine gastropods: phylogenetics, variation, and plasticity",invertebrate,marine,2014,"gastropods; Strombus gibberulus; phylogenetics; variation; trait plasticity; Moorea, French Polynesia",,
"Frazier, Katya","A study on the herbivory, bioactivity, and phylogenetics of the coastal plant communities on Moorea, French Polynesia",plant,terrestrial,2014,coastal plants; angiosperm; community structure; herbivory; bioactivity; phylogenetics; Barringtonia asiatica; Calophyllum inophyllum; Cordia subcordata; Hernandia nymphaeifolia; Hibiscus tiliaceus; Inocarpus fagifer; Morinda citrifolia; Terminalia catappa; Thespesia populnea,,
"Funsten, Matthew C.","Populations of a vermetid gastropod (Dendropoma maxima) on branching and non-branching corals on Moorea, French Polynesia",invertebrate,marine,2014,"gastropods; vermetids; interspecific competition; intraspecific competition; population density; coral reef; Moorea, French Polynesia",,
"Hardesty-Moore, Molly","On the edge of extinction: distribution and behavior of the endangered partulid snails of Moorea, French Polynesia",invertebrates,terrestrial,2014,"conservation; predation; Partulidae; extinction; Euglandina rosea; distribution; Partula taeniata; behavior; Moorea, French Polynesia",,
"Hendrickson, Carl I.","The effect of island biogeography on isolated coral head richness and abundance on Moorea, French Polynesia",invertebrate,marine,2014,"coral; richness; abundance; island biogeography; Moorea, French Polynesia",,
"Karega, Imari Walker","Macroinvertebrate succession on decomposing Turbinaria ornata on the shores of Moorea, French Polynesia","algae, invertebrate","terrestrial, marine",2014,"Turbinaria ornata; macro invertebrates; succession; ecology; decomposition; Moorea, French Polynesia",,
"Kendall-Bar, Jessica","Behavior, den fidelity, and distribution of moray eels (Muraenidae) on Moorea in French Polynesia",vertebrate,marine,2014,moray eels; Anguilliformes; Gymnothorax; Echidna; behavior; den fidelity; distribution; Moorea; French Polynesia,,
"Kim, Ruth Jean Ae","Boldness and exploratory behavior of the guppy, Poecilia reticulata, in Moorea, French Polynesia",vertebrate,freshwater,2014,"Poecilia reticulata; boldness; exploratory behavior; invasive ; Moorea, French Polynesia; Macrobracium spp.; behavioral syndromes",,
"Little, Kristin A.","Size matters: asymmetric competition in Thorelliola ensifera and Cosmophasis lami (Salticidae) on Moorea, French Polynesia",invertebrates,terrestrial,2014,"jumping spiders; Salticidae; Thorelliola ensifera; Cosmophasis lami; Moorea, French Polynesia; asymmetric competition; interspecific competition",,
"Locatelli, Nicolas S.","Coral reef community composition in relation to cleaner wrasse population density in Moorea, French Polynesia","invertebrate, fish, algae",marine,2014,"Scleractinia; beta diversity; community composition; Moorea, French Polynesia; mutualism",,
"Lu, Judy","Do urban structures always negatively impact natural habitats? The effects of artificial substrates on the species richness of fouling assemblages on Moorea, French Polynesia","algae, invertebrates",marine,2014,"fouling assemblages; algae; macroinvertebrate; coral; natural substrate; artificial substrate; basalt; conglomerate; concrete; high-density polyethylene plastic; species richness; species abundance, Moorea, French Polynesia",,
"Moulthrop, Amy J.","The distribution of fire coral, Millepora platyphylla, with regard to the reef complex in Moorea, French Polynesia",invertebrate,marine,2014,"Fire coral; Millepora platyphylla; distribution; water current; tolerance; Moorea, French Polynesia",,
"Pearlman, Lea H.","Resource partitioning and food preference of three gekkonid species on the island of Moorea, French Polynesia",vertebrate,terrestrial,2014,"dietary preference; Gekkonidae; invasive species; Moorea, French Polynesia; competitive interactions; habitat distribution",,
"Petrosky, Anna L.",Abandoned coconut plantations as new habitat for the Moorea kingfisher (Todiramphus youngi),vertebrate,terrestrial,2014,"Todiramphus youngi, novel habitat, coconut plantation, Acridotheres tristis, Moorea, French Polynesia",,
"Saulsbury, James J",Allochthonous woody input into a tropical shallow marine lagoon and its effect on biodiversity,invertebrates,marine,2014,"allochthony; lagoons; morphotypes; oligotrophy; rarefaction; Moorea, French Polynesia; woodfalls",,
"Weiler, Doriane","Influence of live coral cover and additional habitat factors on invertebrate and fish communities in Moorea, French Polynesia","invertebrate, fish",marine,2014,Moorea; climate change; live coral; habitat heterogeneity; invertebrate diversity; fish diversity; intermediate disturbance hypothesis,,
"Yu, Symphony","A comparative study of thermal tolerance and performance between two morphotypes of the black sea cucumber, Holothuria atra",invertebrate,marine,2014,"sea cucumber, Holothuria atra, climate change, ocean warming, thermal tolerance, thermal performance curve, heat stress, sediment turnover, bioturbation, Cook’s Bay, Haapiti, Moorea, French Polynesia",,
"Campos, A.",Effects of ocean acidification on the fecundity and chemoreception of the Chromodoris lochi nudibranch,invert,marine,2013,"Chromodoris lochi; nudibranch; ocean acidification; chemoreception; fecundity; Moorea, French Polynesia",,
