input,given,family,orcid,title,funder,identifier,award,start,end
"Lee,J. S. F.",Frank J.,Lee,0000-0003-0475-2552,Age of Alchemy: The Goldsmith's Daughter,National Endowment for the Humanities,http://dx.doi.org/10.13039/100000103,MT-258876-18,2018,2018
"Lee,J. S. F.",Frank J.,Lee,0000-0003-0475-2552,Skyscraper Games for Kids,Brandywine Realty Trust,,,2019,2019
"Lee,J. S. F.",Frank J.,Lee,0000-0003-0475-2552,Civic Engagement through Interactive Projection,John S. and James L. Knight Foundation,http://dx.doi.org/10.13039/100005959,,2019,2020
"Lee,J. S. F.",Frank J.,Lee,0000-0003-0475-2552,Story Seek: A Location-Based Mobile Game for Storytelling in Philadelphia,William Penn Foundation,http://dx.doi.org/10.13039/100000920,,2020,2022
"Lee,J. S. F.",Frank J.,Lee,0000-0003-0475-2552,SIM-PHL: An Interactive Neighborhood Simulator in Philadelphia,John S. and James L. Knight Foundation,http://dx.doi.org/10.13039/100005959,,2020,2021
"Lee,J. S. F.",Frank J.,Lee,0000-0003-0475-2552,"Assessing, Understanding and Improving the Transfer of Learning in Undergraduate Math, Science and Engineering",Directorate for Education & Human Resources,http://dx.doi.org/10.13039/100000081,0206952,2002,2007
"Lee,J. S. F.",Frank J.,Lee,0000-0003-0475-2552,ITR - (EVS+ASE) - (int+sim): Rapid Evaluation of User Interfaces in Multitasking Environments,Directorate for Computer & Information Science & Engineering,http://dx.doi.org/10.13039/100000083,0426674,2004,2009
"Lee,J. S. F.",Frank J.,Lee,0000-0003-0475-2552,EAGER: Hacktion: Cybersecurity Education Through Pervasive Mixed-Reality Experience,Directorate for Education & Human Resources,http://dx.doi.org/10.13039/100000081,1650159,2016,2018
"Lee,J. S. F.",J. Jack,Lee,0000-0001-5469-9214,,,,,,
"Lee,J. S. F.",J,Lee,0000-0003-3670-6489,,,,,,
"Lee,J. S. F.",J.,Lee,0000-0002-5679-4722,,,,,,
"Lee,J. S. F.",J,Lee,0000-0003-4603-601X,,,,,,
"Lee,J. S. F.",J,Lee,0000-0001-7811-7274,,,,,,
"Lee,J. S. F.",Simon J. Craddock,Lee,0000-0001-6345-1237,BSPAN3: Breast screening and patient navigation for rural underserved women across North Texas,Cancer Prevention and Research Institute of Texas,http://dx.doi.org/10.13039/100004917,PP150053,2015,2018
"Lee,J. S. F.",Simon J. Craddock,Lee,0000-0001-6345-1237,BSPAN4: Optimizing spatial access to high-quality breast screening & patient navigation for rural underserved women across North Texas,Cancer Prevention and Research Institute of Texas,http://dx.doi.org/10.13039/100004917,PP180018,2018,2021
"Lee,J. S. F.",Simon J. Craddock,Lee,0000-0001-6345-1237,Enhancing Primary Care Capacity for Cancer Survivorship Care Delivery in Community Health Clinics,National Cancer Institute,http://dx.doi.org/10.13039/100000054,U01CA290663,2024,2029
"Lee,J. S. F.",Simon J. Craddock,Lee,0000-0001-6345-1237,SDEST: Doctoral Dissertation Research: An ethnography of the social ethics of Catholic healthcare,National Science Foundation,,0114083,2001,2003
"Lee,J. S. F.",Simon J. Craddock,Lee,0000-0001-6345-1237,An Inter-Personal Framework for Lung Cancer Decision-Making in African Americans,National Cancer Institute,,5R03CA159706-02,2012,2015
"Lee,J. S. F.",Simon J. Craddock,Lee,0000-0001-6345-1237,BSPAN2: Evaluating a de-centralized regional delivery model for breast cancer screening and patient navigation for the rural underserved,Cancer Prevention and Research Institute of Texas,182589,PP120097,2012,2015
"Lee,J. S. F.",Simon J. Craddock,Lee,0000-0001-6345-1237,Care coordination for complex cancer survivors in an integrated safety-net system,National Cancer Institute,http://dx.doi.org/10.13039/100000054,R01CA203856,2016,2022
"Lee,J. S. F.",Simon J. Craddock,Lee,0000-0001-6345-1237,Ethnography of the Social Ethics of Catholic Healthcare,Agency for Healthcare Research and Quality,http://dx.doi.org/10.13039/100000133,R03HS013111,2002,2003
"Lee,J. S. F.",Anthony J.,Lee,0000-0001-8466-2594,,,,,,
"Lee,J. S. F.",Tomie J.,Lee,0000-0003-3327-713X,,,,,,
"Lee,J. S. F.",Helen J,Lee,0000-0003-2086-1775,,,,,,
"Lee,J. S. F.",J. Eugene,Lee,0000-0001-8625-6418,,,,,,
"Lee,J. S. F.",Albert J.,Lee,0000-0002-8904-0417,,,,,,
"Lee,J. S. F.",James J.,Lee,0000-0001-6244-2515,,,,,,
"Lee,J. S. F.",Jessica J.,Lee,0000-0003-4721-1422,,,,,,
"Lee,J. S. F.",J Michael,Lee,0000-0003-3211-6000,,,,,,
"Lee,J. S. F.",SoJeong J.,Lee,0000-0001-9641-7561,,,,,,
"Lee,J. S. F.",Esther J.,Lee,0000-0001-5114-6593,,,,,,
"Lee,J. S. F.",Sang J,LEE,0000-0002-0893-1411,,,,,,
"Lee,J. S. F.",Jason J,Lee,0000-0002-3865-2675,,,,,,
"Lee,J. S. F.",Senq-J,Lee,0000-0002-9346-4132,,,,,,
"Lee,J. S. F.",J. Alex,Lee,0000-0002-9800-3714,,,,,,
"Lee,J. S. F.",Jennifer J,Lee,0000-0003-4407-0310,,,,,,
"Lee,J. S. F.",Hye J.,Lee,0000-0001-5358-8715,,,,,,
"Lee,J. S. F.",J. Seth,Lee,0000-0002-9714-9287,,,,,,
"Lee,J. S. F.",Hee J,Lee,0009-0000-1811-3159,,,,,,
"Lee,J. S. F.",J. Quinn,Lee,0000-0003-3661-711X,,,,,,
"Lee,J. S. F.",E. J.,Lee,0000-0001-5787-505X,,,,,,
"Lee,J. S. F.",Sang J.,Lee,0000-0001-7142-2890,,,,,,
"Lee,J. S. F.",J. Eugene,Lee,0009-0000-9091-8795,,,,,,
"Lee,J. S. F.",Grace J.,Lee,0009-0005-1508-7211,,,,,,
"Lee,J. S. F.",Ben J,Lee,0000-0002-9395-318X,,,,,,
"Lee,J. S. F.",James J,Lee,0000-0001-6547-5128,,,,,,
"Lee,J. S. F.",C J,Lee,0000-0001-7627-3804,,,,,,
"Lee,J. S. F.",Jae J.,Lee,0009-0006-4609-127X,,,,,,
"Lee,J. S. F.",J. Scott,Lee,0009-0002-7812-3580,Bridging the Gap Between the Humanities and Sciences,National Endowment for the Humanities,https://ror.org/02vdm1p28,,2003,2005
"Lee,J. S. F.",J. Scott,Lee,0009-0002-7812-3580,Cherokee Trail of Tears Cultural Renewal,National Endowment for the Humanities,,,2005,2006
"Lee,J. S. F.",J. Scott,Lee,0009-0002-7812-3580,Rejuvenating and Reinventing the Liberal Arts,Lynde and Harry Bradley Foundation,https://ror.org/05ycax488,,2018,2022
"Lee,J. S. F.",J. Scott,Lee,0009-0002-7812-3580,Conference on Religious and Secular Cores,Apgar Foundation,,,2014,2014
"Lee,J. S. F.",J. Scott,Lee,0009-0002-7812-3580,Tradition and Innovation Curriculum Development Project,Bradley Foundation,https://ror.org/05ycax488,,2014,2016
"Lee,J. S. F.",J. Scott,Lee,0000-0001-7151-9828,Microbial-derived purines in intestinal homeostasis,National Institute of Diabetes and Digestive and Kidney Diseases,http://dx.doi.org/10.13039/100000062,F32DK122741,2019,2021
"Lee,J. S. F.",Junia J.,Lee,0009-0009-7769-0410,,,,,,
"Lee,J. S. F.",J. Hannah,Lee,0000-0002-5487-3478,,,,,,
"Lee,J. S. F.",Benjamin J.,Lee,0000-0002-1678-1345,,,,,,
"Lee,J. S. F.",Michelle J.,Lee,0000-0001-7481-9201,,,,,,
"Lee,J. S. F.",P. J,Lee,0000-0002-6032-0028,,,,,,
"Lee,J. S. F.",James J,Lee,0000-0002-4366-4443,,,,,,
"Lee,J. S. F.",Seung J,Lee,0009-0009-0492-3287,,,,,,
"Lee,J. S. F.",J. Y. ,Lee,0000-0003-1573-7139,,,,,,
"Lee,J. S. F.",Doohyun J.,Lee,0009-0003-9998-9882,,,,,,
"Lee,J. S. F.",Jason J.,Lee,0000-0003-2490-2095,,,,,,
"Lee,J. S. F.",Anthony J.,Lee,0000-0001-8288-3393,"A data-driven, multivariate approach to human mate preferences.",European Commission,http://dx.doi.org/10.13039/501100000780,705478,2017,2018
"Lee,J. S. F.",Mark J. W.,Lee,0000-0003-4845-8507,,,,,,
"Lee,J. S. F.",Justine J,Lee-Dodd,0000-0002-4657-7273,,,,,,
"Lee,J. S. F.",María J.,Rodríguez-San Lee,0009-0001-9734-9078,,,,,,
"Lee,J. S. F.",Terrence J.,Lee-St. John,0000-0002-7122-5245,,,,,,
"Lee,J. S. F.",William J. Lee,William John Lee,0009-0004-2454-6275,,,,,,
"Petterson,R.",Anthony R.,Petterson,0009-0001-1146-4690,,,,,,
"Salazar,C. E.",Laura C.,Salazar,0000-0003-3007-3836,Chronic hunger and gastric ulcers in pigs,Agencia Nacional de Investigación y Desarrollo,http://dx.doi.org/10.13039/501100020884,,2019,2023
"Salazar,C. E.",Laura C.,Salazar,0000-0003-3007-3836,Applied Animal Behaviour and Animal Welfare (MSc study program),Agencia Nacional de Investigación y Desarrollo,http://dx.doi.org/10.13039/501100020884,,2015,2016
"Salazar,C. E.",Laura C.,Salazar,0000-0003-3007-3836,The Edgar Pye Research Scholarship 2019,Society of Feed Technologists,,000000000000,2019,
"Salazar,C. E.",Laura C.,Salazar,0000-0003-3007-3836,Validating non-invasive methods of gastric ulcer detection in sows: oral behaviours and metabolomic analysis of saliva,Universities Federation for Animal Welfare,https://ror.org/00qy2eq52,,2021,
"Salazar,C. E.",C. T.,Salazar,0000-0003-4742-062X,,,,,,
"Salazar,C. E.",Jean C.,Salazar,0000-0003-3271-6647,,,,,,
"Salazar,C. E.",Francisco C.,Ordaz-Salazar,0000-0003-2430-284X,,,,,,
"Salazar,C. E.",Paloma C. ,Salazar-Villanueva,0009-0009-3911-9803,,,,,,
"Salazar,C. E.",Domingo C.,Salazar-García,0000-0002-8017-0194,,,,,,
"Salazar,C. E.",Diana C. ,Moscote Salazar,0000-0003-1103-1163,,,,,,
"Tolliver,H.",Clarence H.,Tolliver,0000-0001-9928-1460,Doctor of Engineering,Rotary Yoneyama Memorial Foundation,http://dx.doi.org/10.13039/100017349,,,
"Tolliver,H.",Clarence H.,Tolliver,0000-0001-9928-1460,Master of Engineering,Sojitz Foundation,,,,
"Tolliver,H.",Clarence H.,Tolliver,0000-0001-9928-1460,Juris Doctor,John H. Pickering Scholarship,,,,
"Crandall,E. D.",Kirsten E.,Crandall,0000-0002-2262-2041,,,,,,
"Gutierrez,J. A.",Francisco J.,Gutierrez,0000-0002-5285-8901,,,,,,
"Gutierrez,J. A.",Gabrielle J.,Gutierrez,0000-0002-2350-1559,,,,,,
"Gutierrez,J. A.",J. Julio,Gutierrez,0000-0003-3539-0320,,,,,,
"Gutierrez,J. A.",J. A. S.,Gutierrez,0009-0007-1996-0342,,,,,,
"Gutierrez,J. A.",Antonio J.,Gutierrez Trashorras,0000-0002-9430-7251,,,,,,
"Gutierrez,J. A.",Juan J.,Gutierrez A.,0009-0005-1654-3987,,,,,,
"Gutierrez,J. A.",J. Octavio,Gutierrez-Garcia,0000-0002-6252-6169,,,,,,
"Gutierrez,J. A.",Erika J,Gutierrez-Lara,0000-0003-1780-7487,Dissecting Causal Relationships Between Desmosomal Deficiency and Inflammation In Arrhythmogenic Cardiomyopathy,American Heart Association,,24POST1198409,2024,2024
"Gutierrez,J. A.",Victor J.,Gutierrez-Martinez,0000-0003-0803-6908,,,,,,
"Gutierrez,J. A.",Juan J,Gutierrez-Gonzalez,0000-0002-6795-6192,Genetic analysis of the viability of native trout (Salmo trutta) populations in the face of the threat of climate change,Ministerio de Ciencia e Innovación,http://dx.doi.org/10.13039/501100004837,TED2021-132091B-I00,2023,2024
"Gutierrez,J. A.",Juan J,Gutierrez-Gonzalez,0000-0002-6795-6192,Identification of QTLs/genes involved in drought tolerance and resistance to Ascochyta in lentils,Ministerio de Ciencia e Innovación,http://dx.doi.org/10.13039/501100004837,PID2021-128598OB-I00,2022,2025
"Gutierrez,J. A.",Brandon J.,Gutierrez-Soto,0009-0008-4690-3906,,,,,,
"Gutierrez,J. A.",J. Alfredo,Gutierrez,0000-0003-2352-4010,,,,,,
"Gutierrez,J. A.",Maria J.,Gutierrez,0000-0002-0967-7355,,,,,,
"Gutierrez,J. A.",J. Antonio,Gutierrez,0000-0003-4353-4507,,,,,,
"Gutierrez,J. A.",Rafael J.,Gutierrez,0009-0001-5664-3385,,,,,,
"Gutierrez,J. A.",Ashley J.,Gutierrez-Onofre ,0009-0001-9163-8020,,,,,,
"Gutierrez,J. A.",ABNER J.,GUTIERREZ-CHAVEZ,0000-0003-1702-508X,,,,,,
"Gutierrez,J. A.",Manuel J Medina,Gutierrez,0009-0006-5561-8774,,,,,,
"Gutierrez,J. A.",Emilio J.,Mitacc Gutierrez,0000-0002-0737-5855,,,,,,
"Gutierrez,J. A.",Antonio J.,Gutierrez Martínez,0000-0002-4620-7221,,,,,,
"Gutierrez,J. A.",Lina J.,Sarmiento Gutierrez ,0000-0002-1306-0374,,,,,,
"Gutierrez,J. A.",Kenedy J.,Gutierrez Mendoza,0000-0002-7303-2404,,,,,,
"Gutierrez,J. A.",Pedro J,Baez-Gutierrez,0000-0002-0829-941X,,,,,,
"Gutierrez,J. A.",J. Gerardo,Gutierrez-Compean,0009-0008-2261-6849,,,,,,
"Gutierrez,J. A.",Wendy J.,Mallqui Gutierrez,0009-0009-1231-1096,,,,,,
"Gutierrez,J. A.",Juan J.,Carrillo-Gutierrez,0009-0007-5440-638X,,,,,,
"Murphy,S. K.",S. Patrick,Murphy,0000-0001-6356-8507,,,,,,
"Murphy,S. K.",Melissa S,Murphy,0009-0002-7685-5278,,,,,,
"Murphy,S. K.",Margueritte S.,Murphy,0009-0005-5710-8287,,,,,,
"Murphy,S. K.",Linda S. ,Murphy,0000-0003-2948-0792,California State Library Minority Scholarship Program,San Fransico Public Library,,,1985,1986
"Murphy,S. K.",Linda S. ,Murphy,0000-0003-2948-0792,Librarians Association of the University of California and Professional Development Committee grants program.,University of California Office of the President,http://dx.doi.org/10.13039/100006034,,2009,2010
"Murphy,S. K.",Linda S. ,Murphy,0000-0003-2948-0792,Faculty development project on Evidenced-Based Complementary & Alternative Medicine training to UCI faculty and community health practitioners,National Center for Complementary and Alternative Medicine,http://dx.doi.org/10.13039/100000064,"NCCAM, R25",2003,2007
"Murphy,S. K.",Linda S. ,Murphy,0000-0003-2948-0792,HRSA (Health Resources and Services Administration) Faculty Development Project on Cultural Competency Training in Latino Health,U.S. Department of Health and Human Services,http://dx.doi.org/10.13039/100000002,1K07HL079256-01,2004,2009
"Murphy,S. K.",Linda S. ,Murphy,0000-0003-2948-0792,Librarians Association of the University of California Research and Professional Development Committee grants program,University of California Office of the President ,http://dx.doi.org/10.13039/100005595,,2011,2012
"Murphy,S. K.",Linda S. ,Murphy,0000-0003-2948-0792,"41st Trust Fund Research Grant, conduct systematic reviews related to reliability and validity of spinal palpatory diagnostic procedures",University of California,http://dx.doi.org/10.13039/100005595,41st Trust ,2001,2003
"Murphy,S. K.",Linda S. ,Murphy,0000-0003-2948-0792,"University of California, Irvine Faculty Career Development Award","University of California, Irvine ",http://dx.doi.org/10.13039/100005595,,1999,2000
"Murphy,S. K.",Linda S. ,Murphy,0000-0003-2948-0792,Medical Library Group of Southern California and Arizona Research Grant,Medical Library Group of Southern California & Arizona,,,1999,2000
"Murphy,S. K.",Bridget S.,"Murphy, DBH",0000-0003-4536-0758,,,,,,
"Wright,H. E.",Antoinette H.,Wright,0009-0007-9822-7586,,,,,,
"Wright,H. E.",Juliet H.,Wright,0000-0002-6246-7875,,,,,,
"Wright,H. E.",Hattie H,Wright,0000-0002-1663-5348,,,,,,
"Roderick-Jones,R. A.",Christopher R.,Jones,0000-0002-3338-7702,,,,,,
"Roderick-Jones,R. A.",Matthew R.,Jones,0000-0003-1344-747X,,,,,,
"Roderick-Jones,R. A.",Jessica R,Jones,0009-0003-7579-7245,,,,,,
"Roderick-Jones,R. A.",James R,Jones,0009-0001-2940-3634,,,,,,
"Roderick-Jones,R. A.",John R.,Jones,0000-0002-1046-3792,,,,,,
"Roderick-Jones,R. A.",R Christian,Jones,0000-0002-3313-2646,,,,,,
"Roderick-Jones,R. A.",Matthew R.,Jones,0000-0002-2206-7762,,,,,,
"Roderick-Jones,R. A.",ARTHUR R,JONES,0000-0001-7866-3910,,,,,,
"Roderick-Jones,R. A.",Shaun R.,Jones,0009-0002-1199-6336,,,,,,
"Roderick-Jones,R. A.",Rachel R,Jones,0009-0002-3309-0287,,,,,,
"Roderick-Jones,R. A.",Jeffrey R,Jones,0000-0002-7570-2571,Determination of the role of kynurenine in models of Alzheimer's Disease,American Heart Association,,23BHCICG1187315,2023,2024
"Roderick-Jones,R. A.",William R.,Jones,0000-0002-8694-8884,,,,,,
"Roderick-Jones,R. A.",Owen J R,Jones,0000-0001-7921-5108,,,,,,
"Roderick-Jones,R. A.",Mark R,"Jones, Ph.D.",0000-0002-8250-2463,,,,,,
"Roderick-Jones,R. A.",Stephen R,Jones,0000-0002-9724-3193,,,,,,
"Roderick-Jones,R. A.",Wayson R.,Jones,0000-0003-0634-1618,,,,,,
"Roderick-Jones,R. A.",John R.,JONES,0000-0002-9225-693X,,,,,,
"Roderick-Jones,R. A.",Melissa R.,Jones,0000-0003-3437-3596,,,,,,
"Roderick-Jones,R. A.",Sidney R,Jones,0000-0002-6886-2710,,,,,,
"Roderick-Jones,R. A.",Kellie R,Jones,0000-0003-2788-7724,,,,,,
"Roderick-Jones,R. A.",Thomas R.,Jones,0000-0002-6083-6649,,,,,,
"Roderick-Jones,R. A.",Stephanie R,Jones,0000-0002-8726-7116,,,,,,
"Roderick-Jones,R. A.",R. Harold,Jones,0000-0003-4734-396X,,,,,,
"Roderick-Jones,R. A.",Margaret R,Jones,0000-0002-6066-383X,,,,,,
"Roderick-Jones,R. A.",Paul R.,Jones,0000-0001-9126-7269,,,,,,
"Roderick-Jones,R. A.",R. Kenny,Jones,0009-0005-1169-0507,,,,,,
"Roderick-Jones,R. A.",R. Brad,Jones,0000-0003-4470-1231,,,,,,
"Roderick-Jones,R. A.",R. Brynn,Jones-Rastelli,0009-0000-9752-4481,,,,,,
"Roderick-Jones,R. A.",Stephen R G,Jones,0000-0003-0239-9521,,,,,,
"Vallejo,P. G.",J. P.,Vallejo,0009-0008-4129-8364,,,,,,
"Vallejo,P. G.",Javier P.,Vallejo,0000-0002-0047-499X,,,,,,
"Vallejo,P. G.",Pedro P,Vallejo T,0000-0002-4725-5030,,,,,,
"Baker,C.",C. David,Baker,0000-0002-9853-6190,,,,,,
"Baker,C.",Denise C.,Baker,0000-0003-4153-3850,,,,,,
"Baker,C.",PAUL C,BAKER,0000-0002-8532-3524,,,,,,
"Baker,C.",C. Scott,Baker,0000-0003-2183-2036,,,,,,
"Murdock,A.",Sheryl A.,Murdock,0000-0002-3746-6483,,,,,,
"Murdock,A.",Sheryl A.,Murdock,0000-0002-3746-6483,,,,,,
"Nguyen,D.",D.,Nguyen,0009-0001-7690-7472,,,,,,
"Nguyen,D.",D. Bao,Nguyen,0000-0001-6050-4268,,,,,,
"Nguyen,D.",Toan D,Nguyen,0000-0001-6192-8601,,,,,,
"Nguyen,D.",Tri D,Nguyen,0009-0001-7286-724X,,,,,,
"Nguyen,D.",Phuoc D.,Nguyen,0000-0002-3059-5573,,,,,,
"Nguyen,D.",Thang D.,Nguyen,0009-0003-2000-4981,,,,,,
"Nguyen,D.",Huong D,Nguyen,0000-0003-1524-8028,,,,,,
"Nguyen,D.",D. Grace,Nguyen,0000-0003-4576-6619,,,,,,
"Nguyen,D.",Nghiem D.,Nguyen,0000-0001-8522-0202,,,,,,
"Nguyen,D.",Bao D,Nguyen,0000-0001-8245-4126,,,,,,
"Nguyen,D.",David D.,Nguyen,0000-0002-8243-195X,,,,,,
"Nguyen,D.",D. Nhat,Nguyen,0009-0005-2085-290X,,,,,,
"Nguyen,D.",Quyet D.,Nguyen,0000-0003-1565-7841,,,,,,
"Nguyen,D.",Hieu D.,Nguyen,0009-0001-7102-4902,,,,,,
"Nguyen,D.",Tung D,Nguyen,0000-0002-3190-8754,,,,,,
"Nguyen,D.",Dieu D.,Nguyen,0000-0002-5678-1008,"Simons Astrophysics Group at ICISE (Quy Nhon, Vietnam)",The Simons Foundation,,,2022,2025
"Nguyen,D.",Truong D,Nguyen,0000-0002-6452-5573,,,,,,
"Nguyen,D.",Viet D.,Nguyen,0000-0002-9574-7662,,,,,,
"Nguyen,D.",Long D.,Nguyen,0009-0009-0991-7679,,,,,,
"Nguyen,D.",Khoa D.,Nguyen,0009-0004-3502-1722,,,,,,
"Nguyen,D.",D. Duc,Nguyen,0000-0002-6004-3657,,,,,,
"Nguyen,D.",Tam D.,Nguyen,0000-0001-8336-4296,Scalable high-performance electrolytic hydrogen generator,Australian Research Council,http://dx.doi.org/10.13039/501100000923,IE230100468,2024,2027
"Nguyen,D.",Tam D.,Nguyen,0000-0001-8336-4296,High performance electrolyte for the vanadium redox flow battery,Australian Research Council,http://dx.doi.org/10.13039/501100000923,LP220200956,2025,2028
"Nguyen,D.",Nam D.,Nguyen,0000-0002-2939-5806,SAO-FRA pilot grant,Stichting Alzheimer Onderzoek–Fondation Recherche Alzheimer,,,,
"Nguyen,D.",Thanh D.,Nguyen,0000-0001-5775-8494,,,,,,
"Nguyen,D.",Khanh D.,Nguyen,0000-0002-8727-0411,,,,,,
"Nguyen,D.",Thuy D.,Nguyen,0000-0003-2368-310X,,,,,,
"Nguyen,D.",D T L,Nguyen,0000-0001-9061-8426,,,,,,
"Nguyen,D.",Khai D Q,NGUYEN,0000-0001-9776-1049,,,,,,
"Nguyen,D.",Kieu C D,Nguyen,0000-0002-9163-1806,,,,,,
"Nguyen,D.",Quan D. M.,Nguyen,0009-0002-7317-4215,,,,,,
"Nguyen,D.",Thanh D. V.,Nguyen,0009-0004-6815-6586,,,,,,
"Nguyen,D.",Ha D. N.,Nguyen,0009-0003-8248-4415,,,,,,
"Nguyen,D.",Lien-Hoa D.,Nguyen,0000-0001-5805-0586,,,,,,
"Nguyen,D.",Hannah-Hanh D.,Nguyen,0000-0002-8493-0365,,,,,,
"Nguyen,D.",Nhat D. P.,Nguyen,0009-0009-5409-4800,,,,,,
"Nguyen,D.",Trang T. D. ,Nguyen,0009-0000-2086-3098,,,,,,
"Nguyen,D.",Phong T D,Nguyen,0000-0003-4685-4952,,,,,,
"Nguyen,D.",Tam-Anh D.,Nguyen,0000-0003-1370-9193,,,,,,
"Roy-Burman,P.",Kamalika P,Roy,0000-0001-7338-2829,,,,,,
"Roy-Burman,P.",Kiran P,roy,0000-0003-4339-2027,,,,,,
"Roy-Burman,P.",Priya P. ,Roy,0009-0007-5274-5513,,,,,,
"Roy-Burman,P.",Partha P.,Roy,0000-0001-8862-9476,Student Excellence Award (SEA),University of Strathclyde,http://dx.doi.org/10.13039/100008078,,2018,2021
"Roy-Burman,P.",P.,Pavithra Roy,0000-0002-6787-6619,,,,,,
"Silva,J.",J,Silva,0009-0004-4495-0347,,,,,,
"Silva,J.",Yolanda J.,Silva,0000-0002-7154-0122,,,,,,
"Silva,J.",J. Enrique,Silva,0000-0002-7744-2443,,,,,,
"Silva,J.",Rodrigo J,Silva,0000-0003-3630-0868,,,,,,
"Silva,J.",Catherine J.,Silva,0000-0003-0654-479X,,,,,,
"Silva,J.",Thais J.,Silva,0009-0005-1768-3893,,,,,,
"Silva,J.",Francisco J.,Silva,0000-0002-6911-6541,,,,,,
"Silva,J.",Fabrício J.,SILVA,0009-0004-0739-2753,,,,,,
"Silva,J.",Francisco J.,Silva,0000-0002-6735-3447,,,,,,
"Silva,J.",Ricardo J C,Silva,0000-0003-0719-6504,,,,,,
"Silva,J.",Albert Henrique J,Silva,0000-0002-3662-9973,,,,,,
"Silva,J.",Evandro J. R.,Silva,0009-0004-6782-5143,,,,,,
"Silva,J.",Marcelo J. B.,Silva,0000-0002-5807-4286,Phenomena involved in metastatic and osteoclasto- genic processes: tumor progression induced by tumor cell exosomes,Fundação de Amparo à Pesquisa do Estado de Minas Gerais,,APQ-00586-14,2015,2017
"Silva,J.",Marcelo J. B.,Silva,0000-0002-5807-4286,Neoplastic effects of medroxyprogesterone and bisphenol A in MCF-10A,BD Bioscience,,,2014,2015
"Silva,J.",Marcelo J. B.,Silva,0000-0002-5807-4286,Evaluation of the interaction of splicing components  during in vitro cancerization ,Conselho Nacional de Pesquisa,,458305/2014-6,2015,2017
"Silva,J.",Marcelo J. B.,Silva,0000-0002-5807-4286,Evaluation of the Antitumor Activity and Description of the Effects of Estrogen Receptor Beta Modulation Associated with AP-1 Antagonism in Breast Cancer Cell Lines,Foundation for Research Support of the State of Minas,,0106323,2022,
"Silva,J.",Marcelo J. B.,Silva,0000-0002-5807-4286,Concomitant Modulation of Estrogen Receptor Beta and AP-1 as an Antitumor Strategy in Triple-Negative and Endocrine-Resistant Breast Cancer,Ministry of Health,https://ror.org/02y7p0749,25000150913202059,2022,
"Silva,J.",Marcelo J. B.,Silva,0000-0002-5807-4286,Evaluation of laminarin sulfate in liposomal formulation for the treatment of mice with ehrlich solid tumor,Foundation for Research Support of the State of Minas Gerais.,,APQ-04237-10,2010,2012
"Silva,J.",J. Luis,da Silva,0000-0001-6195-8747,,,,,,
"Silva,J.",Paulo J.,Silva Fernandes,0000-0003-1455-1447,,,,,,
"Silva,J.",Soraya  J.,Silva C.,0000-0001-7622-2775,,,,,,
"Silva,J.",J Jesús,Silva Corona,0009-0006-1135-3647,,,,,,
"Silva,J.",J. Carolina ,Silva Gordillo,0000-0002-9181-0249,,,,,,
"Silva,J.",J Ricardo,Da Silva,0009-0005-1142-1091,,,,,,
"Silva,J.",J. Sebastian,Silva-Gonzalez,0000-0001-9900-2441,,,,,,
"Silva,J.",J. LIZBETH,SILVA CONTRERAS,0009-0002-7718-0700,,,,,,
"Silva,J.",J Jesús,Álvarez Silva,0009-0001-5059-7357,,,,,,
"Silva,J.",Evelyn J.,Silva Pérez,0000-0001-9598-6041,,,,,,
"Silva,J.",Cristian J.,Silva-Perez,0000-0002-6843-5022,,,,,,
"Silva,J.",María J,Romero-Silva,0009-0008-9722-2211,,,,,,
"Silva,J.",J. Alberto,Marques-Silva,0009-0002-8737-8235,,,,,,
"Silva,J.",Ricardo J. Nunes da,Silva,0000-0002-9201-0542,"Hospitalis - Arquitetura hospitalar em Portugal nos alvores da Modernidade: identificação, caraterização e contextualização.",Fundação para a Ciência e a Tecnologia,http://dx.doi.org/10.13039/501100001871,PTDC/ART-HIS/30808/2017,2018,2021
"Silva,J.",Ricardo J. Nunes da,Silva,0000-0002-9201-0542,"Diego de Riaño, Diego Siloe y la Transición del Gótico al Renacimiento en España. Arquitectura y Ciudad: Técnica, Lenguaje y Concepción Espacial ",Gobierno de España,http://dx.doi.org/10.13039/501100004837,HAR2016-76371-P,2018,2020
"Silva,J.",Ricardo J. Nunes da,Silva,0000-0002-9201-0542,Los diseños de arquitectura de tradición gótica en la Penínusla Ibérica entre los siglos XVII y XVIII. Inventario y catalogación,Gobierno de España Ministerio de Ciencia e Innovación,http://dx.doi.org/10.13039/100014440,HAR2017-85523-P,2018,2021
"Silva,J.",Ricardo J. Nunes da,Silva,0000-0002-9201-0542,Ordo Christi - Património Artístico da Ordem de Cristo entre o Zêzere e o Tejo (séc. XV e XVI),Fundação para a Ciência e a Tecnologia,http://dx.doi.org/10.13039/501100001871,SAICT-POL/23684/2016,2017,2019
"Silva,J.",Ricardo J. Nunes da,Silva,0000-0002-9201-0542,Los diseños de arquitectura en la Península Ibérica entre los siglos XV y XVI. Inventario y catalogación,Gobierno de España Ministerio de Ciencia e Innovación,http://dx.doi.org/10.13039/100014440,HAR2014-54281-P,2015,2017
